"Survey","Reef","Site","Transect","Length_mm","Genus","Species","Number","Comment","Video","T_ID","Date","Lat","Long","Depth","Temperature","Habitat","Aspect","Benthic_Complexity","Species_name","Biomass Constant A","Biomass Constant B","Max Length (cm)","Trophic Group","Trophic Level","Family","Functional Group"
"Feb_21","Bougainville","BVille_1","T4",185.618,"Bodianus","anthioides",1,NA,"Stereo","Feb_21_BVille_1_T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5,"Bodianus anthioides",0.01202,3.06,24,"invertivore-mobile",3.44,"Labridae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T4",75.794,"Acanthochromis","polyacanthus",18,NA,"Stereo","Feb_21_BVille_1_T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5,"Acanthochromis polyacanthus",0.0429,3.045,14,"omnivore",2.69,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T5",135.339,"Cephalopholis","leopardus",1,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Cephalopholis leopardus",0.01259,3.05,24,"piscivore",4.01,"Serranidae","Piscivore"
"Feb_21","Bougainville","BVille_1","T5",114.024,"Pseudanthias","pleurotaenia",6,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore"
"Feb_21","Bougainville","BVille_1","T5",129.119,"Pseudanthias","pleurotaenia",6,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore"
"Feb_21","Bougainville","BVille_1","T5",208.515,"Acanthurus","thompsoni",1,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T5",66.634,"Chromis","amboinensis",8,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T5",102.904,"Hoplolatilus","starcki",2,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Hoplolatilus starcki",0.00537,3.03,15.5,"invertivore-mobile",3.4,"Malacanthidae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T5",1369.106,"Carcharhinus","albimarginatus",1,NA,"Stereo","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,"Carcharhinus albimarginatus",0.00437,3.1,300,"piscivore",4.48,"Carcharhinidae","Piscivore"
"Feb_21","Bougainville","BVille_1","T6",129.109,"Pseudanthias","pleurotaenia",5,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore"
"Feb_21","Bougainville","BVille_1","T6",77.376,"Labroides","dimidiatus",1,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Labroides dimidiatus",0.006669,3.172365,14,"invertivore-mobile",3.85,"Labridae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T6",124.816,"Oxycheilinus","orientalis",1,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Oxycheilinus orientalis",0.0166,2.95,20,"piscivore",3.8,"Labridae","Carnivore"
"Feb_21","Bougainville","BVille_1","T6",144.793,"Bodianus","anthioides",1,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Bodianus anthioides",0.01202,3.06,24,"invertivore-mobile",3.44,"Labridae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T6",68.257,"Acanthochromis","polyacanthus",12,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Acanthochromis polyacanthus",0.0429,3.045,14,"omnivore",2.69,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T6",63.173,"Chromis","amboinensis",10,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T6",122.594,"Pseudanthias","pleurotaenia",6,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore"
"Feb_21","Bougainville","BVille_1","T6",88.391,"Myripristis","vittata",3,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Myripristis vittata",0.0182,3.05,25,"planktivore",3.8,"Holocentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T6",252.392,"Monotaxis","grandoculis",1,NA,"Stereo","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,"Monotaxis grandoculis",0.041756,2.851508,60,"invertivore-mobile",3.4,"Lethrinidae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T7",103.746,"Forcipiger","flavissimus",2,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Forcipiger flavissimus",0.02188,3.02,22,"invertivore-mobile",3.38,"Chaetodontidae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T7",300.061,"Oxycheilinus","unifasciatus",1,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Oxycheilinus unifasciatus",0.0166,2.95,46,"piscivore",4.06,"Labridae","Carnivore"
"Feb_21","Bougainville","BVille_1","T7",203.712,"Acanthurus","thompsoni",3,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T7",142.578,"Acanthurus","thompsoni",4,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T7",62.646,"Chromis","iomelas",12,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Chromis iomelas",0.01221,3.094234,8,"planktivore",2.69,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T7",114.976,"Pseudanthias","pleurotaenia",8,NA,"Stereo","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",51.64,"Chromis","iomelas",6,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis iomelas",0.01221,3.094234,8,"planktivore",2.69,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",171.102,"Oxycheilinus","unifasciatus",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Oxycheilinus unifasciatus",0.0166,2.95,46,"piscivore",4.06,"Labridae","Carnivore"
"Feb_21","Bougainville","BVille_1","T8",180.3,"Bodianus","anthioides",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Bodianus anthioides",0.01202,3.06,24,"invertivore-mobile",3.44,"Labridae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T8",157.056,"Genicanthus","melanospilos",8,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Genicanthus melanospilos",0.0302,2.89,18,"planktivore",3.4,"Pomacanthidae","Omnivore"
"Feb_21","Bougainville","BVille_1","T8",73.134,"Paracentropyge","multifasciata",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Paracentropyge multifasciata",0.0302,2.89,12,"invertivore-mobile",2.79,"Pomacanthidae","Omnivore"
"Feb_21","Bougainville","BVille_1","T8",43.598,"Chromis","amboinensis",16,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",65.446,"Chromis","iomelas",20,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis iomelas",0.01221,3.094234,8,"planktivore",2.69,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",65.817,"Chromis","alpha",12,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis alpha",0.01778,2.99,8.5,"planktivore",3,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",67.47,"Chromis","alpha",12,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis alpha",0.01778,2.99,8.5,"planktivore",3,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",48.326,"Chromis","iomelas",12,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis iomelas",0.01221,3.094234,8,"planktivore",2.69,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",63.324,"Chromis","amboinensis",10,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",88.254,"Chromis","alpha",16,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis alpha",0.01778,2.99,8.5,"planktivore",3,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",90.745,"Labroides","dimidiatus",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Labroides dimidiatus",0.006669,3.172365,14,"invertivore-mobile",3.85,"Labridae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T8",174.769,"Cephalopholis","leopardus",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Cephalopholis leopardus",0.01259,3.05,24,"piscivore",4.01,"Serranidae","Piscivore"
"Feb_21","Bougainville","BVille_1","T8",64.114,"Chromis","amboinensis",18,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",151.418,"Acanthurus","thompsoni",4,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",117.294,"Hoplolatilus","starcki",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Hoplolatilus starcki",0.00537,3.03,15.5,"invertivore-mobile",3.4,"Malacanthidae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T8",76.744,"Chromis","iomelas",5,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis iomelas",0.01221,3.094234,8,"planktivore",2.69,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",54.239,"Chromis","amboinensis",14,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",112.369,"Chromis","xanthochira",2,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis xanthochira",0.01778,2.99,14,"planktivore",2.72,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",79.799,"Chromis","alpha",6,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis alpha",0.01778,2.99,8.5,"planktivore",3,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",104.644,"Chromis","alpha",8,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chromis alpha",0.01778,2.99,8.5,"planktivore",3,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",119.509,"Chaetodon","mertensii",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Chaetodon mertensii",0.004261,3.800466,12.5,"invertivore-mobile",2.95,"Chaetodontidae","Omnivore"
"Feb_21","Bougainville","BVille_1","T8",133.829,"Genicanthus","watanabei",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Genicanthus watanabei",0.0302,2.89,15,"planktivore",3.4,"Pomacanthidae","Omnivore"
"Feb_21","Bougainville","BVille_1","T8",141.109,"Genicanthus","watanabei",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Genicanthus watanabei",0.0302,2.89,15,"planktivore",3.4,"Pomacanthidae","Omnivore"
"Feb_21","Bougainville","BVille_1","T8",150.565,"Forcipiger","flavissimus",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Forcipiger flavissimus",0.02188,3.02,22,"invertivore-mobile",3.38,"Chaetodontidae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T8",119.721,"Acanthochromis","polyacanthus",12,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Acanthochromis polyacanthus",0.0429,3.045,14,"omnivore",2.69,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",123.445,"Acanthurus","thompsoni",6,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T8",91.69,"Centropyge","bispinosa",1,NA,"Stereo","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,"Centropyge bispinosa",0.111214,2.360317,10,"herbivore-detritivore",2.75,"Pomacanthidae","Omnivore"
