"Survey","Reef","Site","Drop","Frame","Depth","Comment","Genus","Species","Code","MaxN","Species_name","T_ID","Date","Lat","Long","Habitat","Aspect","Benthic_Complexity","Biomass Constant A","Biomass Constant B","Biomass Constant C","Max Length (cm)","Max Length Type","Trophic Level","Vulnerability","Regions","Climate Score","Trophic Group","Functional Group","Group Size","Family","Functional Group.X"
"Oct_21","Ashmore","Ashmore_2","D10",25652,27,NA,"Ctenochaetus","striatus",37437022,1,"Ctenochaetus striatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.01569,3.058599,1,26,"total length",2,18.05,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"omnivore","detritivore","medium group","Acanthuridae","Grazer"
"Oct_21","Ashmore","Ashmore_2","D10",28259,27,NA,"Naso","lituratus",37437029,2,"Naso lituratus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0324,2.94,0.848176,46,"standard length",2.32,34.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-macroalgae","browser","small group","Acanthuridae","Browser"
"Oct_21","Ashmore","Ashmore_2","D10",11761,27,NA,"Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.005055,3.21133,1,255,"total length",4.5,84.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Carcharhinidae","Piscivore"
"Oct_21","Ashmore","Ashmore_2","D10",50177,27,NA,"Chaetodon","lineolatus",37365041,1,"Chaetodon lineolatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.06926,2.62151,1,30,"total length",3.39,23.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-sessile","corallivore","pair","Chaetodontidae","Omnivore"
"Oct_21","Ashmore","Ashmore_2","D10",19249,27,NA,"Labroides","dimidiatus",37384028,1,"Labroides dimidiatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.006669,3.172365,1,14,"total length",3.85,23.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","micro-invertivore","pair","Labridae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_2","D10",1660,27,NA,"Oxycheilinus","unifasciatus",37384068,1,"Oxycheilinus unifasciatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0166,2.95,1,46,"total length",4.06,44,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","solitary","Labridae","Carnivore"
"Oct_21","Ashmore","Ashmore_2","D10",33743,27,NA,"Thalassoma","lunare",37384167,1,"Thalassoma lunare","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0183,2.862,1,45,"total length",3.5,47.82,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","micro-invertivore","small group","Labridae","Carnivore"
"Oct_21","Ashmore","Ashmore_2","D10",13835,27,NA,"Lethrinus","erythracanthus",37351025,1,"Lethrinus erythracanthus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0183,3.02,0.959,70,"total length",3.41,46.28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA,"Lethrinidae","Carnivore"
"Oct_21","Ashmore","Ashmore_2","D10",39110,27,"aureofasciatus","Pentapodus","aureofasciatus",NA,1,"Pentapodus aureofasciatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.01514,2.97,1,25,"total length",3.5,24.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","micro-invertivore","small group","Nemipteridae","Carnivore"
"Oct_21","Ashmore","Ashmore_2","D10",25978,27,"bicolor","Centropyge","bicolor",NA,1,"Centropyge bicolor","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0302,2.89,1,15,"total length",2.97,23.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","cropper/grazer","pair","Pomacanthidae","Grazer"
"Oct_21","Ashmore","Ashmore_2","D10",26421,27,NA,"Centropyge","bispinosa",37365023,1,"Centropyge bispinosa","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.111214,2.360317,1,10,"total length",2.75,15.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","cropper/grazer","pair","Pomacanthidae","Omnivore"
"Oct_21","Ashmore","Ashmore_2","D10",33438,27,NA,"Pygoplites","diacanthus",37365082,1,"Pygoplites diacanthus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0302,2.89,1,25,"standard length",2.69,37.68,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-sessile","spongivore","solitary","Pomacanthidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_2","D10",31018,27,"retrofasciata","Chromis","retrofasciata",NA,4,"Chromis retrofasciata","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.00527,2.773,1,6,"standard length",2.65,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"planktivore","planktivore","small group","Pomacentridae","Planktivore"
"Oct_21","Ashmore","Ashmore_2","D10",48019,27,NA,"Pomachromis","richardsoni",37372128,1,"Pomachromis richardsoni","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.01479,2.98,1,6,"standard length",2.96,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"planktivore","planktivore","medium group","Pomacentridae","Planktivore"
"Oct_21","Ashmore","Ashmore_2","D10",33530,27,NA,"Scarus","chameleon",37386012,1,"Scarus chameleon","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.01445,3.04,1,31,"total length",2,21.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","scraper",NA,"Labridae (Scarinae)","Scraper"
"Oct_21","Ashmore","Ashmore_2","D10",33877,27,NA,"Scarus","schlegeli",37386029,1,"Scarus schlegeli","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.020801,3.00244,1,40,"total length",2.75,30.75,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","scraper","medium group","Labridae (Scarinae)","Scraper"
"Oct_21","Ashmore","Ashmore_2","D10",9254,27,NA,"Plectropomus","laevis",37311079,1,"Plectropomus laevis","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.00523,3.23774,1,125,"total length",4.14,56.09,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore",NA,"Serranidae","Piscivore"
"Oct_21","Ashmore","Ashmore_2","D10",17471,27,NA,"Plectropomus","leopardus",37311078,2,"Plectropomus leopardus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.009115,3.105091,1,120,"standard length",4.41,51.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore",NA,"Serranidae","Piscivore"
"Oct_21","Ashmore","Ashmore_2","D9",1807,37,NA,"Acanthurus","dussumieri",37437008,1,"Acanthurus dussumieri","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.037995,2.83451,1,54,"total length",2,36.1,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","cropper/grazer","small group","Acanthuridae","Grazer"
"Oct_21","Ashmore","Ashmore_2","D9",122,37,NA,"Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.0257,2.94,1,60,"total length",2.78,29.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA,"Balistidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_2","D9",44886,37,NA,"Carangoides","ferdau",37337068,13,"Carangoides ferdau","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.025497,2.83241,1,70,"total length",3.98,43.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Carangidae","Piscivore"
"Oct_21","Ashmore","Ashmore_2","D9",25947,37,NA,"Elagatis","bipinnulata",37337029,50,"Elagatis bipinnulata","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.0845,2.556,0.711,180,"total length",3.59,50.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore","medium group","Carangidae","Piscivore"
"Oct_21","Ashmore","Ashmore_2","D9",28644,37,NA,"Carcharhinus","albimarginatus",37018027,1,"Carcharhinus albimarginatus","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.00437,3.1,1,300,"total length",4.48,75.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore","small group","Carcharhinidae","Piscivore"
"Oct_21","Ashmore","Ashmore_2","D9",32109,37,NA,"Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.005055,3.21133,1,255,"total length",4.5,84.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Carcharhinidae","Piscivore"
"Oct_21","Ashmore","Ashmore_3","D11",45718,32,NA,"Acanthurus","pyroferus",37437017,2,"Acanthurus pyroferus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA,0.02291,2.96,1,29,"total length",2,28.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","cropper/grazer","small group","Acanthuridae","Grazer"
"Oct_21","Ashmore","Ashmore_3","D11",50593,32,NA,"Naso","lituratus",37437029,1,"Naso lituratus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA,0.0324,2.94,0.848176,46,"standard length",2.32,34.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-macroalgae","browser","small group","Acanthuridae","Browser"
"Oct_21","Ashmore","Ashmore_3","D11",1089,32,NA,"Balistapus","undulatus",37465047,1,"Balistapus undulatus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA,0.0565,2.947,0.840689,30,"total length",3.37,31.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","solitary","Balistidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_3","D11",7809,32,NA,"Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA,0.0257,2.94,1,60,"total length",2.78,29.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA,"Balistidae","Benthic invertivore"
