"Survey","Reef","Site","Drop","Frame","Depth","Comment","Family","Genus","Species","Code","MaxN","Species_name","T_ID","Date","Lat","Long","Habitat","Aspect","Benthic_Complexity","Biomass Constant A","Biomass Constant B","Biomass Constant C","Max Length (cm)","Max Length Type","Trophic Level","Vulnerability","Regions","Climate Score","Trophic Group","Functional Group","Group Size"
"Oct_21","Ashmore","Ashmore_1","D1",39934,38,NA,"Sphyraenidae","Sphyraena","barracuda",37382008,1,"Sphyraena barracuda","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.020464,2.890473,1,200,"total length",4.5,78.57,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific",NA,"piscivore","piscivore","solitary"
"Oct_21","Ashmore","Ashmore_1","D3",58054,42,NA,"Carangidae","Carangoides","fulvoguttatus",37337037,1,"Carangoides fulvoguttatus","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.02885,2.768673,1,120,"fork length",4.02,64.86,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_1","D3",35620,42,NA,"Carangidae","Caranx","ignobilis",37337027,1,"Caranx ignobilis","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.012104,2.993242,1,170,"total length",4.48,82.12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore","solitary"
"Oct_21","Ashmore","Ashmore_1","D3",41274,42,NA,"Carangidae","Gnathanodon","speciosus",37337012,1,"Gnathanodon speciosus","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.016908,2.926345,1,120,"total length",3.84,37.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_1","D3",40786,42,NA,"Carcharhinidae","Carcharhinus","albimarginatus",37018027,1,"Carcharhinus albimarginatus","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.00437,3.1,1,300,"total length",4.48,75.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore","small group"
"Oct_21","Ashmore","Ashmore_1","D3",40580,42,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.005055,3.21133,1,255,"total length",4.5,84.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_1","D3",24298,42,"euanus","Lethrinidae","Gymnocranius","euanus",NA,1,"Gymnocranius euanus","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.019829,2.926623,1,45,"total length",3.8,40.48,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA
"Oct_21","Ashmore","Ashmore_1","D4",53811,28,NA,"Balistidae","Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.0257,2.94,1,60,"total length",2.78,29.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA
"Oct_21","Ashmore","Ashmore_1","D4",38950,28,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.005055,3.21133,1,255,"total length",4.5,84.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_1","D4",19072,28,NA,"Chaetodontidae","Chaetodon","kleinii",37365040,1,"Chaetodon kleinii","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.0449,3.036,0.827,15,"total length",3.18,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"omnivore","corallivore","pair"
"Oct_21","Ashmore","Ashmore_1","D4",23236,28,NA,"Labridae","Cheilinus","undulatus",37384038,1,"Cheilinus undulatus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.017807,3.018029,1,229,"standard length",3.99,73.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","solitary"
"Oct_21","Ashmore","Ashmore_1","D4",1372,28,NA,"Lethrinidae","Lethrinus","semicinctus",37351016,5,"Lethrinus semicinctus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.009019,3.094426,1,35,"total length",4.01,24.58,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","small group"
"Oct_21","Ashmore","Ashmore_1","D4",43099,28,NA,"Lutjanidae","Lutjanus","rivulatus",37346016,1,"Lutjanus rivulatus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.00768,3.26016,1,80,"total length",4.13,42.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","solitary"
"Oct_21","Ashmore","Ashmore_1","D4",34689,28,NA,"Mullidae","Parupeneus","heptacanthus",37355004,4,"Parupeneus heptacanthus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.009705,3.113888,1,36,"total length",3.86,38,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","small group"
"Oct_21","Ashmore","Ashmore_1","D4",18711,28,NA,"Mullidae","Parupeneus","pleurostigma",37355027,4,"Parupeneus pleurostigma","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.01202,3.09,1,33,"total length",3.4,30.4,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","small group"
"Oct_21","Ashmore","Ashmore_1","D4",19232,28,"flavipinnis","Pomacentridae","Chrysiptera","flavipinnis",NA,1,"Chrysiptera flavipinnis","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.01479,2.98,1,8,"total length",2.68,16.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"omnivore","planktivore","small group"
"Oct_21","Ashmore","Ashmore_1","D4",19072,28,"amboinensis","Pomacentridae","Pomacentrus","amboinensis",NA,3,"Pomacentrus amboinensis","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.080305,2.583765,0.944,9,"total length",2.69,18.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"planktivore","planktivore","small group"
"Oct_21","Ashmore","Ashmore_1","D4",19072,28,NA,"Pomacentridae","Pomacentrus","nagasakiensis",37372119,2,"Pomacentrus nagasakiensis","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.01479,2.98,1,11,"total length",2.74,22.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"planktivore","planktivore","small group"
"Oct_21","Ashmore","Ashmore_1","D4",19232,28,NA,"Pomacentridae","Pomacentrus","pavo",37372122,5,"Pomacentrus pavo","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.030728,2.875203,0.944,8.5,"standard length",3.02,22.08,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"planktivore","planktivore","medium group"
"Oct_21","Ashmore","Ashmore_1","D4",38950,28,NA,"Serranidae","Plectropomus","leopardus",37311078,2,"Plectropomus leopardus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.009115,3.105091,1,120,"standard length",4.41,51.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore",NA
"Oct_21","Ashmore","Ashmore_1","D5",52016,32,NA,"Balistidae","Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA,0.0257,2.94,1,60,"total length",2.78,29.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA
"Oct_21","Ashmore","Ashmore_1","D5",40045,32,NA,"Carangidae","Carangoides","ferdau",37337068,1,"Carangoides ferdau","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA,0.025497,2.83241,1,70,"total length",3.98,43.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_1","D5",26394,32,NA,"Lethrinidae","Gymnocranius","grandoculis",37351005,1,"Gymnocranius grandoculis","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA,0.026616,2.878493,1,80,"total length",3.98,41.78,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","small group"
"Oct_21","Ashmore","Ashmore_1","D5",34961,32,NA,"Lethrinidae","Lethrinus","olivaceus",37351004,1,"Lethrinus olivaceus","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA,0.025937,2.829751,1,100,"total length",4.2,39.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","large group"
"Oct_21","Ashmore","Ashmore_1","D5",32869,32,NA,"Lutjanidae","Lutjanus","bohar",37346029,1,"Lutjanus bohar","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA,0.013464,3.055209,1,90,"total length",4.27,68.83,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_2","D10",41409,27,NA,"Acanthuridae","Acanthurus","blochii",37437007,3,"Acanthurus blochii","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.014365,3.073704,1,45,"standard length",2,38.32,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","cropper/grazer","small group"
"Oct_21","Ashmore","Ashmore_2","D10",25652,27,NA,"Acanthuridae","Ctenochaetus","striatus",37437022,1,"Ctenochaetus striatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.01569,3.058599,1,26,"total length",2,18.05,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"omnivore","detritivore","medium group"
"Oct_21","Ashmore","Ashmore_2","D10",28259,27,NA,"Acanthuridae","Naso","lituratus",37437029,2,"Naso lituratus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0324,2.94,0.848176,46,"standard length",2.32,34.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-macroalgae","browser","small group"
"Oct_21","Ashmore","Ashmore_2","D10",11761,27,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.005055,3.21133,1,255,"total length",4.5,84.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_2","D10",50177,27,NA,"Chaetodontidae","Chaetodon","lineolatus",37365041,1,"Chaetodon lineolatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.06926,2.62151,1,30,"total length",3.39,23.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-sessile","corallivore","pair"
"Oct_21","Ashmore","Ashmore_2","D10",19249,27,NA,"Labridae","Labroides","dimidiatus",37384028,1,"Labroides dimidiatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.006669,3.172365,1,14,"total length",3.85,23.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","micro-invertivore","pair"
"Oct_21","Ashmore","Ashmore_2","D10",1660,27,NA,"Labridae","Oxycheilinus","unifasciatus",37384068,1,"Oxycheilinus unifasciatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0166,2.95,1,46,"total length",4.06,44,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","solitary"
"Oct_21","Ashmore","Ashmore_2","D10",33743,27,NA,"Labridae","Thalassoma","lunare",37384167,1,"Thalassoma lunare","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0183,2.862,1,45,"total length",3.5,47.82,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","micro-invertivore","small group"
"Oct_21","Ashmore","Ashmore_2","D10",13835,27,NA,"Lethrinidae","Lethrinus","erythracanthus",37351025,1,"Lethrinus erythracanthus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0183,3.02,0.959,70,"total length",3.41,46.28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA
"Oct_21","Ashmore","Ashmore_2","D10",39110,27,"aureofasciatus","Nemipteridae","Pentapodus","aureofasciatus",NA,1,"Pentapodus aureofasciatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.01514,2.97,1,25,"total length",3.5,24.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","micro-invertivore","small group"
"Oct_21","Ashmore","Ashmore_2","D10",25978,27,"bicolor","Pomacanthidae","Centropyge","bicolor",NA,1,"Centropyge bicolor","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0302,2.89,1,15,"total length",2.97,23.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","cropper/grazer","pair"
"Oct_21","Ashmore","Ashmore_2","D10",26421,27,NA,"Pomacanthidae","Centropyge","bispinosa",37365023,1,"Centropyge bispinosa","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.111214,2.360317,1,10,"total length",2.75,15.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","cropper/grazer","pair"
"Oct_21","Ashmore","Ashmore_2","D10",33438,27,NA,"Pomacanthidae","Pygoplites","diacanthus",37365082,1,"Pygoplites diacanthus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.0302,2.89,1,25,"standard length",2.69,37.68,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-sessile","spongivore","solitary"
"Oct_21","Ashmore","Ashmore_2","D10",31018,27,"retrofasciata","Pomacentridae","Chromis","retrofasciata",NA,4,"Chromis retrofasciata","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.00527,2.773,1,6,"standard length",2.65,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"planktivore","planktivore","small group"
"Oct_21","Ashmore","Ashmore_2","D10",48019,27,NA,"Pomacentridae","Pomachromis","richardsoni",37372128,1,"Pomachromis richardsoni","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.01479,2.98,1,6,"standard length",2.96,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"planktivore","planktivore","medium group"
"Oct_21","Ashmore","Ashmore_2","D10",33530,27,NA,"Scaridae","Scarus","chameleon",37386012,1,"Scarus chameleon","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.01445,3.04,1,31,"total length",2,21.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","scraper",NA
"Oct_21","Ashmore","Ashmore_2","D10",33877,27,NA,"Scaridae","Scarus","schlegeli",37386029,1,"Scarus schlegeli","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.020801,3.00244,1,40,"total length",2.75,30.75,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","scraper","medium group"
"Oct_21","Ashmore","Ashmore_2","D10",9254,27,NA,"Serranidae","Plectropomus","laevis",37311079,1,"Plectropomus laevis","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.00523,3.23774,1,125,"total length",4.14,56.09,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore",NA
"Oct_21","Ashmore","Ashmore_2","D10",17471,27,NA,"Serranidae","Plectropomus","leopardus",37311078,2,"Plectropomus leopardus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.009115,3.105091,1,120,"standard length",4.41,51.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore",NA
"Oct_21","Ashmore","Ashmore_2","D9",1807,37,NA,"Acanthuridae","Acanthurus","dussumieri",37437008,1,"Acanthurus dussumieri","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.037995,2.83451,1,54,"total length",2,36.1,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","cropper/grazer","small group"
"Oct_21","Ashmore","Ashmore_2","D9",122,37,NA,"Balistidae","Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.0257,2.94,1,60,"total length",2.78,29.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA
"Oct_21","Ashmore","Ashmore_2","D9",44886,37,NA,"Carangidae","Carangoides","ferdau",37337068,13,"Carangoides ferdau","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.025497,2.83241,1,70,"total length",3.98,43.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_2","D9",25947,37,NA,"Carangidae","Elagatis","bipinnulata",37337029,50,"Elagatis bipinnulata","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.0845,2.556,0.711,180,"total length",3.59,50.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore","medium group"
"Oct_21","Ashmore","Ashmore_2","D9",28644,37,NA,"Carcharhinidae","Carcharhinus","albimarginatus",37018027,1,"Carcharhinus albimarginatus","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.00437,3.1,1,300,"total length",4.48,75.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore","small group"
"Oct_21","Ashmore","Ashmore_2","D9",32109,37,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA,0.005055,3.21133,1,255,"total length",4.5,84.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_3","D11",45718,32,NA,"Acanthuridae","Acanthurus","pyroferus",37437017,2,"Acanthurus pyroferus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA,0.02291,2.96,1,29,"total length",2,28.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","cropper/grazer","small group"
"Oct_21","Ashmore","Ashmore_3","D11",50593,32,NA,"Acanthuridae","Naso","lituratus",37437029,1,"Naso lituratus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA,0.0324,2.94,0.848176,46,"standard length",2.32,34.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-macroalgae","browser","small group"
"Oct_21","Ashmore","Ashmore_3","D11",1089,32,NA,"Balistidae","Balistapus","undulatus",37465047,1,"Balistapus undulatus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA,0.0565,2.947,0.840689,30,"total length",3.37,31.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","solitary"
"Oct_21","Ashmore","Ashmore_3","D11",7809,32,NA,"Balistidae","Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA,0.0257,2.94,1,60,"total length",2.78,29.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA
"Oct_21","Ashmore","Ashmore_3","D11",42925,32,NA,"Chaetodontidae","Chaetodon","auriga",37365019,2,"Chaetodon auriga","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA,0.037129,2.873369,1,23,"total length",3.13,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"omnivore","micro-invertivore","pair"
"Oct_21","Ashmore","Ashmore_3","D11",55704,32,NA,"Epinephelidae","Epinephelus","polyphekadion",37311047,1,"Epinephelus polyphekadion","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",48193,32,NA,"Labridae","Bodianus","mesothorax",37384060,1,"Bodianus mesothorax","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA,0.01202,3.06,1,25,"total length",3.22,31.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","micro-invertivore","solitary"
