"Survey","Reef","Site","Transect","T_ID","Date","Lat","Long","Depth","Temperature","Habitat","Aspect","Benthic_Complexity","Total_Biomass_g"
"Feb_21","Bougainville","BVille_1","T2","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,248399.816602467
"Feb_21","Bougainville","BVille_1","T3","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,8202.31376323381
"Feb_21","Bougainville","BVille_1","T4","Feb_21_BVille_1_T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5,1428.55596711596
"Feb_21","Bougainville","BVille_1","T5","Feb_21_BVille_1_T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5,1297.89737339118
"Feb_21","Bougainville","BVille_1","T6","Feb_21_BVille_1_T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4,1693.02770804307
"Feb_21","Bougainville","BVille_1","T7","Feb_21_BVille_1_T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5,1266.95112987355
"Feb_21","Bougainville","BVille_1","T8","Feb_21_BVille_1_T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5,4694.55581354102
"Feb_21","Bougainville","BVille_1","T9","Feb_21_BVille_1_T9",2021-02-22,-15.48724,147.09035,57.4,28,"outer_reef","steep_slope",5,1854.16010311895
"Feb_21","Chillcot","Chilcott_1","T1","Feb_21_Chilcott_1_T1",2021-02-13,-16.92334,149.99654,36.5,28.3,"lagoon","flat",1,0.901241699528589
"Feb_21","Flinders","Flinders_N1","T1","Feb_21_Flinders_N1_T1",2021-02-18,-17.86224,148.54848,42.1,29.3,"lagoon","flat",0,1235.60602498033
"Feb_21","Flinders","Flinders_N1","T2","Feb_21_Flinders_N1_T2",2021-02-18,-17.86224,148.54848,40.2,29.2,"lagoon","flat",1,2715.0046780894
"Feb_21","Flinders","Flinders_N1","T3","Feb_21_Flinders_N1_T3",2021-02-18,-17.86224,148.54848,40,29.2,"lagoon","flat",0,10545.9079102711
"Feb_21","Flinders","Flinders_N1","T4","Feb_21_Flinders_N1_T4",2021-02-18,-17.86224,148.54848,40,29.2,"lagoon","flat",0,5980.30937276591
"Feb_21","Flinders","Flinders_N1","T5","Feb_21_Flinders_N1_T5",2021-02-18,-17.86224,148.54848,41.5,29.2,"lagoon","flat",0,22840.0554625841
"Feb_21","Flinders","Flinders_N1","T6","Feb_21_Flinders_N1_T6",2021-02-18,-17.86224,148.54848,43.3,29.2,"lagoon","flat",0,31624.5347752708
"Feb_21","Flinders","Flinders_N1","T7","Feb_21_Flinders_N1_T7",2021-02-18,-17.86224,148.54848,44,29.1,"lagoon","flat",1,1729.62403001481
"Feb_21","Flinders","Flinders_S1","T1","Feb_21_Flinders_S1_T1",2021-02-16,-17.86224,148.46677,35.6,29.2,"outer_reef","steep_slope",4,33527.8542465111
"Feb_21","Flinders","Flinders_S1","T2","Feb_21_Flinders_S1_T2",2021-02-16,-17.86224,148.46677,37.1,29.2,"outer_reef","wall",4,29270.7034452269
"Feb_21","Flinders","Flinders_S1","T3","Feb_21_Flinders_S1_T3",2021-02-16,-17.86224,148.46677,42.1,29.2,"outer_reef","wall",3,833.714951827592
"Feb_21","Flinders","Flinders_S1","T4","Feb_21_Flinders_S1_T4",2021-02-16,-17.86224,148.46677,35.2,29.3,"outer_reef","wall",3,913.003572239975
"Feb_21","Flinders","Flinders_S1","T5","Feb_21_Flinders_S1_T5",2021-02-16,-17.86224,148.46677,45.4,29.2,"outer_reef","wall",3,6.97325604445129
"Feb_21","Flinders","Flinders_S1","T6","Feb_21_Flinders_S1_T6",2021-02-16,-17.86224,148.46677,34.3,29.2,"outer_reef","steep_slope",3,1333.37765283089
"Feb_21","Flinders","Flinders_S1","T7","Feb_21_Flinders_S1_T7",2021-02-16,-17.86224,148.46677,45.2,29.2,"outer_reef","wall",4,16840.1005830874
"Feb_21","Frederick","Fred_W1","T1","Feb_21_Fred_W1_T1",2021-02-09,-21.01225,154.34671,34.8,28,"slope_terrace","gentle_slope",1,33917.9176382395
"Feb_21","Frederick","Fred_W1","T2","Feb_21_Fred_W1_T2",2021-02-09,-21.01225,154.34671,40,27.5,"slope_terrace","flat",1,55698.3027862107
"Feb_21","Herald","Herald_1","T1","Feb_21_Herald_1_T1",2021-02-15,-16.9711,149.12769,34.3,29.9,"passage","flat",3,27901.1466210467
"Feb_21","Herald","Herald_1","T2","Feb_21_Herald_1_T2",2021-02-15,-16.9711,149.12769,35.3,29.8,"passage","flat",2,4912.89661213754
"Feb_21","Herald","Herald_1","T3","Feb_21_Herald_1_T3",2021-02-15,-16.9711,149.12769,37.6,29.4,"passage","flat",1,899.986188356028
"Feb_21","Herald","Herald_1","T4","Feb_21_Herald_1_T4",2021-02-15,-16.9711,149.12769,43.5,29.2,"slope_terrace","gentle_slope",2,21256.074356665
"Feb_21","Herald","Herald_1","T5","Feb_21_Herald_1_T5",2021-02-15,-16.9711,149.12769,43.8,29,"slope_terrace","gentle_slope",2,2141.30829464737
"Feb_21","Herald","Herald_1","T6","Feb_21_Herald_1_T6",2021-02-15,-16.9711,149.12769,41.7,29.1,"slope_terrace","gentle_slope",2,21508.2438215704
"Feb_21","Herald","Herald_1","T7","Feb_21_Herald_1_T7",2021-02-15,-16.9711,149.12769,40.5,29.1,"slope_terrace","gentle_slope",2,36984.8120001781
"Feb_21","Herald","Herald_1","T8","Feb_21_Herald_1_T8",2021-02-15,-16.9711,149.12769,40.4,29.2,"slope_terrace","gentle_slope",2,18400.4803049122
"Feb_21","Herald","Herald_1","T9","Feb_21_Herald_1_T9",2021-02-15,-16.9711,149.12769,37.1,29.3,"slope_terrace","gentle_slope",3,30671.4322742469
"Feb_21","Holmes","Holmes_2","T1","Feb_21_Holmes_2_T1",2021-02-21,-16.42536,147.98399,62.7,27.1,"outer_reef","steep_slope",3,528.760621788059
"Feb_21","Holmes","Holmes_2","T10","Feb_21_Holmes_2_T10",2021-02-21,-16.42536,147.98399,37,28,"outer_reef","gentle_slope",2,2895.21999815315
"Feb_21","Holmes","Holmes_2","T11","Feb_21_Holmes_2_T11",2021-02-21,-16.42536,147.98399,35,28.4,"slope_terrace","gentle_slope",2,27541.0988952141
"Feb_21","Holmes","Holmes_2","T12","Feb_21_Holmes_2_T12",2021-02-21,-16.42536,147.98399,31.2,29.2,"slope_terrace","gentle_slope",2,16382.5486390747
"Feb_21","Holmes","Holmes_2","T13","Feb_21_Holmes_2_T13",2021-02-21,-16.42536,147.98399,28,29.4,"slope_terrace","gentle_slope",2,52506.5821419076
"Feb_21","Holmes","Holmes_2","T2","Feb_21_Holmes_2_T2",2021-02-21,-16.42536,147.98399,63.7,26.3,"outer_reef","steep_slope",3,2416.7707616641
"Feb_21","Holmes","Holmes_2","T3","Feb_21_Holmes_2_T3",2021-02-21,-16.42536,147.98399,64.2,26.6,"outer_reef","steep_slope",4,878.33828335321
"Feb_21","Holmes","Holmes_2","T4","Feb_21_Holmes_2_T4",2021-02-21,-16.42536,147.98399,63.2,26.5,"outer_reef","steep_slope",4,432.044869761926
"Feb_21","Holmes","Holmes_2","T5","Feb_21_Holmes_2_T5",2021-02-21,-16.42536,147.98399,63.1,26.4,"outer_reef","steep_slope",3,376.184669509438
"Feb_21","Holmes","Holmes_2","T6","Feb_21_Holmes_2_T6",2021-02-21,-16.42536,147.98399,56.6,26.7,"outer_reef","steep_slope",3,6985.05793424665
"Feb_21","Holmes","Holmes_2","T7","Feb_21_Holmes_2_T7",2021-02-21,-16.42536,147.98399,54.5,26.8,"outer_reef","steep_slope",4,10415.5469594947
"Feb_21","Holmes","Holmes_2","T8","Feb_21_Holmes_2_T8",2021-02-21,-16.42536,147.98399,46.6,26.9,"outer_reef","wall",4,849.665793316719
"Feb_21","Holmes","Holmes_2","T9","Feb_21_Holmes_2_T9",2021-02-21,-16.42536,147.98399,45,27,"outer_reef","wall",4,1455.59417074734
"Feb_21","Kenn","Kenn_1","T1","Feb_21_Kenn_1_T1",2021-02-08,-21.21291,155.78185,40.8,26.3,"outer_reef","steep_slope",4,4428.78143837449
"Feb_21","Kenn","Kenn_1","T2","Feb_21_Kenn_1_T2",2021-02-08,-21.21291,155.78185,31.1,26.5,"outer_reef","steep_slope",4,6395.0420675798
"Feb_21","Kenn","Kenn_1","T3","Feb_21_Kenn_1_T3",2021-02-08,-21.21291,155.78185,31.4,26.4,"slope_terrace","gentle_slope",3,22719.3274837359
"Feb_21","Kenn","Kenn_1","T4","Feb_21_Kenn_1_T4",2021-02-08,-21.21291,155.78185,32.3,26.4,"slope_terrace","gentle_slope",3,25847.1396678563
"Feb_21","Lihou","Lihou_N1","T1","Feb_21_Lihou_N1_T1",2021-02-12,-17.11619,151.83479,45.1,27.7,"lagoon","flat",2,2707.82125641879
"Feb_21","Lihou","Lihou_N1","T10","Feb_21_Lihou_N1_T10",2021-02-12,-17.11619,151.83479,50.1,25.3,"outer_reef","steep_slope",1,561.246215077651
"Feb_21","Lihou","Lihou_N1","T11","Feb_21_Lihou_N1_T11",2021-02-12,-17.11619,151.83479,50.1,25.7,"outer_reef","steep_slope",3,108.039166580333
"Feb_21","Lihou","Lihou_N1","T12","Feb_21_Lihou_N1_T12",2021-02-12,-17.11619,151.83479,55.6,27.9,"outer_reef","steep_slope",4,43.4730616967616
"Feb_21","Lihou","Lihou_N1","T13","Feb_21_Lihou_N1_T13",2021-02-12,-17.11619,151.83479,55.2,28,"outer_reef","steep_slope",3,16.3198155530531
"Feb_21","Lihou","Lihou_N1","T2","Feb_21_Lihou_N1_T2",2021-02-12,-17.11619,151.83479,31.2,28.3,"lagoon","flat",1,2831.88406946806
"Feb_21","Lihou","Lihou_N1","T3","Feb_21_Lihou_N1_T3",2021-02-12,-17.11619,151.83479,30.8,28.3,"lagoon","flat",2,118.529742958418
"Feb_21","Lihou","Lihou_N1","T4","Feb_21_Lihou_N1_T4",2021-02-12,-17.11619,151.83479,33,28.3,"lagoon","flat",2,316.157040984032
"Feb_21","Lihou","Lihou_N1","T5","Feb_21_Lihou_N1_T5",2021-02-12,-17.11619,151.83479,31.7,28,"lagoon","flat",2,1462.61760311748
"Feb_21","Lihou","Lihou_N1","T6","Feb_21_Lihou_N1_T6",2021-02-12,-17.11619,151.83479,32.5,28,"passage","flat",2,3893.79580422925
"Feb_21","Lihou","Lihou_N1","T7","Feb_21_Lihou_N1_T7",2021-02-12,-17.11619,151.83479,36.5,27.6,"passage","flat",3,2948.26309993395
"Feb_21","Lihou","Lihou_N1","T8","Feb_21_Lihou_N1_T8",2021-02-12,-17.11619,151.83479,40,27.4,"outer_reef","gentle_slope",3,2538.80120005994
"Feb_21","Lihou","Lihou_N1","T9","Feb_21_Lihou_N1_T9",2021-02-12,-17.11619,151.83479,44.8,27.7,"outer_reef","gentle_slope",2,12972.1674864212
"Feb_21","Lihou","Lihou_S1","T1","Feb_21_Lihou_S1_T1",2021-02-11,-17.40091,151.87454,46.2,28.8,"lagoon","flat",1,5309.6603377462
"Feb_21","Lihou","Lihou_S1","T2","Feb_21_Lihou_S1_T2",2021-02-11,-17.40091,151.87454,46.6,28.8,"lagoon","flat",1,5548.08042267065
"Feb_21","Lihou","Lihou_S1","T4","Feb_21_Lihou_S1_T4",2021-02-11,-17.40091,151.87669,47.1,28.8,"lagoon","flat",0,19747.8339911855
"Feb_21","Lihou","Lihou_S1","T5","Feb_21_Lihou_S1_T5",2021-02-11,-17.40091,151.87669,46.4,28.8,"lagoon","flat",1,4613.60047922465
"Feb_21","Lihou","Lihou_S1","T7","Feb_21_Lihou_S1_T7",2021-02-11,-17.40091,151.87669,47.7,28.8,"lagoon","flat",1,1923.58701895555
"Feb_21","Lihou","Lihou_S1","T8","Feb_21_Lihou_S1_T8",2021-02-11,-17.40091,151.87669,47.9,28.8,"lagoon","flat",1,10045.3319695557
"Feb_21","Lihou","Lihou_S1","T9","Feb_21_Lihou_S1_T9",2021-02-11,-17.40091,151.87669,48.9,28,"lagoon","flat",0,264.734741959937
"Feb_21","Marion","Marion_1","T1","Feb_21_Marion_1_T1",2021-02-10,-19.12206,152.37332,33.9,27.5,"lagoon","flat",2,16965.5703776505
"Feb_21","Marion","Marion_1","T3","Feb_21_Marion_1_T3",2021-02-10,-19.12206,152.37332,34.7,27.3,"lagoon","flat",0,1.4399332928271
"Feb_21","Marion","Marion_1","T4","Feb_21_Marion_1_T4",2021-02-10,-19.12206,152.37332,35,27.3,"lagoon","flat",0,37.4546913253507
"Feb_21","Marion","Marion_1","T5","Feb_21_Marion_1_T5",2021-02-10,-19.12206,152.37332,34.9,27.3,"lagoon","flat",1,8623.34122766303
"Feb_21","Marion","Marion_1","T6","Feb_21_Marion_1_T6",2021-02-10,-19.12206,152.37332,35,27.3,"lagoon","flat",1,458.262575106151
"Feb_21","Marion","Marion_1","T7","Feb_21_Marion_1_T7",2021-02-10,-19.12206,152.37332,34.9,27.2,"lagoon","flat",1,2.0011118784535
"Feb_21","Marion","Marion_1","T8","Feb_21_Marion_1_T8",2021-02-10,-19.12206,152.37332,35.1,27.3,"lagoon","flat",0,368.939000698406
"Feb_21","Osprey","Osp_N1","T1","Feb_21_Osp_N1_T1",2021-02-24,-13.8007,146.55257,97.2,25.6,"outer_reef","wall",5,21352.2335875661
"Feb_21","Osprey","Osp_N1","T10","Feb_21_Osp_N1_T10",2021-02-24,-13.8007,146.55257,68,26.3,"outer_reef","steep_slope",4,5595.60707412981
"Feb_21","Osprey","Osp_N1","T11","Feb_21_Osp_N1_T11",2021-02-24,-13.8007,146.55257,64.2,26.4,"outer_reef","steep_slope",4,555.259771765274
"Feb_21","Osprey","Osp_N1","T12","Feb_21_Osp_N1_T12",2021-02-24,-13.8007,146.55257,61.4,26.6,"outer_reef","steep_slope",4,906.480815704473
"Feb_21","Osprey","Osp_N1","T13","Feb_21_Osp_N1_T13",2021-02-24,-13.8007,146.55257,52.3,27.3,"outer_reef","steep_slope",5,3600.07654367041
"Feb_21","Osprey","Osp_N1","T14","Feb_21_Osp_N1_T14",2021-02-24,-13.8007,146.55257,54.6,27.1,"outer_reef","wall",3,9702.17395108848
"Feb_21","Osprey","Osp_N1","T15","Feb_21_Osp_N1_T15",2021-02-24,-13.8007,146.55257,59.8,26.7,"outer_reef","wall",4,9260.00243804767
"Feb_21","Osprey","Osp_N1","T2","Feb_21_Osp_N1_T2",2021-02-24,-13.8007,146.55257,87.6,25.4,"outer_reef","wall",5,1066.72718876685
"Feb_21","Osprey","Osp_N1","T3","Feb_21_Osp_N1_T3",2021-02-24,-13.8007,146.55257,94.1,25.2,"outer_reef","wall",4,17954.9881618637
"Feb_21","Osprey","Osp_N1","T4","Feb_21_Osp_N1_T4",2021-02-24,-13.8007,146.55257,90.6,25.4,"outer_reef","wall",3,11.7645942296692
"Feb_21","Osprey","Osp_N1","T5","Feb_21_Osp_N1_T5",2021-02-24,-13.8007,146.55257,84,26,"outer_reef","wall",3,403.346736970714
"Feb_21","Osprey","Osp_N1","T6","Feb_21_Osp_N1_T6",2021-02-24,-13.8007,146.55257,80.6,26.1,"outer_reef","steep_slope",4,3996.97992785827
"Feb_21","Osprey","Osp_N1","T7","Feb_21_Osp_N1_T7",2021-02-24,-13.8007,146.55257,71.6,26.3,"outer_reef","steep_slope",5,1592.34507931599
"Feb_21","Osprey","Osp_N1","T8","Feb_21_Osp_N1_T8",2021-02-24,-13.8007,146.55257,74.4,26.3,"outer_reef","steep_slope",4,82.887450608355
"Feb_21","Osprey","Osp_N1","T9","Feb_21_Osp_N1_T9",2021-02-24,-13.8007,146.55257,77.2,26.1,"outer_reef","steep_slope",4,199.340009390982
"Feb_21","Saumarez","Saumarez_S1","T1","Feb_21_Saumarez_S1_T1",2021-02-06,-21.912222,153.609167,29.6,27.9,"lagoon","flat",1,6638.29581398389
"Feb_21","Saumarez","Saumarez_S1","T2","Feb_21_Saumarez_S1_T2",2021-02-06,-21.912222,153.609167,29.6,27.8,"lagoon","flat",1,3214.48916582943
"Feb_21","Saumarez","Saumarez_S1","T3","Feb_21_Saumarez_S1_T3",2021-02-06,-21.912222,153.609167,29.8,27.8,"lagoon","flat",1,356.577229644387
"Feb_21","Saumarez","Saumarez_S1","T4","Feb_21_Saumarez_S1_T4",2021-02-06,-21.912222,153.609167,29.6,27.8,"lagoon","flat",0,9568.95094260616
"Feb_21","Saumarez","Saumarez_S1","T5","Feb_21_Saumarez_S1_T5",2021-02-06,-21.912222,153.609167,29.5,27.8,"lagoon","flat",1,25569.6590946655
"Feb_21","Saumarez","Saumarez_S1","T6","Feb_21_Saumarez_S1_T6",2021-02-06,-21.912222,153.609167,29.9,27.8,"lagoon","flat",1,7195.80903162776
"Feb_21","Willis","Willis_N1","T1","Feb_21_Willis_N1_T1",2021-02-14,-16.92334,149.96951,35.2,28,"outer_reef","gentle_slope",3,1099806.10816073
"Feb_21","Willis","Willis_N1","T10","Feb_21_Willis_N1_T10",2021-02-14,-16.92334,149.96951,50.4,27.2,"outer_reef","steep_slope",3,5281.38200896988
"Feb_21","Willis","Willis_N1","T11","Feb_21_Willis_N1_T11",2021-02-14,-16.92334,149.96951,50.1,27.2,"outer_reef","steep_slope",3,125499.749284321
"Feb_21","Willis","Willis_N1","T12","Feb_21_Willis_N1_T12",2021-02-14,-16.92334,149.96951,40,27.3,"outer_reef","steep_slope",3,21793.3694296559
"Feb_21","Willis","Willis_N1","T13","Feb_21_Willis_N1_T13",2021-02-14,-16.92334,149.96951,43,27.4,"outer_reef","steep_slope",3,17677.7567479511
"Feb_21","Willis","Willis_N1","T14","Feb_21_Willis_N1_T14",2021-02-14,-16.92334,149.96951,42,27.8,"outer_reef","steep_slope",3,719.221174650518
"Feb_21","Willis","Willis_N1","T15","Feb_21_Willis_N1_T15",2021-02-14,-16.92334,149.96951,42,27.8,"outer_reef","steep_slope",3,2250.10865894434
"Feb_21","Willis","Willis_N1","T2","Feb_21_Willis_N1_T2",2021-02-14,-16.92334,149.96951,42.3,27.6,"outer_reef","gentle_slope",4,3976.77059806375
"Feb_21","Willis","Willis_N1","T3","Feb_21_Willis_N1_T3",2021-02-14,-16.92334,149.96951,44.4,27.7,"outer_reef","gentle_slope",4,921.358446852722
"Feb_21","Willis","Willis_N1","T4","Feb_21_Willis_N1_T4",2021-02-14,-16.92334,149.96951,51.5,27.7,"outer_reef","steep_slope",3,100253.463149924
"Feb_21","Willis","Willis_N1","T5","Feb_21_Willis_N1_T5",2021-02-14,-16.92334,149.96951,52.3,27.2,"outer_reef","steep_slope",3,229496.424963577
"Feb_21","Willis","Willis_N1","T6","Feb_21_Willis_N1_T6",2021-02-14,-16.92334,149.96951,52.3,27.2,"outer_reef","steep_slope",3,4219.70471240913
"Feb_21","Willis","Willis_N1","T7","Feb_21_Willis_N1_T7",2021-02-14,-16.92334,149.96951,60.1,26.9,"outer_reef","steep_slope",1,312186.337075599
"Feb_21","Willis","Willis_N1","T8","Feb_21_Willis_N1_T8",2021-02-14,-16.92334,149.96951,44.8,27.1,"outer_reef","steep_slope",2,1412.49051450585
"Feb_21","Willis","Willis_N1","T9","Feb_21_Willis_N1_T9",2021-02-14,-16.92334,149.96951,44.1,27.2,"outer_reef","steep_slope",2,72170.5715940265
"Feb_21","Wreck","Wreck_E1","T1","Feb_21_Wreck_E1_T1",2021-02-07,-22.19906,155.32938,31.5,27.7,"outer_reef","gentle_slope",3,17151.3563436631
"Feb_21","Wreck","Wreck_E1","T2","Feb_21_Wreck_E1_T2",2021-02-07,-22.19906,155.32938,36.5,27.6,"outer_reef","gentle_slope",3,4924.70632076815
"Feb_21","Wreck","Wreck_E1","T3","Feb_21_Wreck_E1_T3",2021-02-07,-22.19906,155.32938,36.3,27.6,"outer_reef","gentle_slope",3,81018.2047948031
