Family,Biomass Constant A,Biomass Constant B,Biomass Constant C
Terapontidae,0.013055,3.079022,1
Tetraodontidae,0.033295,2.55069,0.989467
Torpedinidae,0.02381,3.233,1
Triakidae,0.0034,3.006,1
Trichiuridae,0.000648,3.223033,1
Triglidae,0.011863,3.119532,1
Tripterygiidae,0.005741,3.074278,1
Uranoscopidae,0.00447,3.14,1
Urolophidae,0.01,3.04,1
Urotrygonidae,0.011698,3.14225,1
Zanclidae,0.0147,3.36991,1
Zenarchopteridae,0.00427,3.02,1
