Genus,Family,Biomass Constant A,Biomass Constant B,Biomass Constant C
Rhinobatos,Rhinobatidae,0.00309,3.09,1
Rhinesomus,Ostraciidae,0.05012,2.77,1
Rhinecanthus,Balistidae,0.047783,2.690833,1
Rhincodon,Rhincodontidae,0.00425,3,1
Rhabdosargus,Sparidae,0.020087,2.941481,1
Rhabdamia,Apogonidae,0.0103,3.09,1
Remora,Echeneidae,0.00049,3.1,1
Rastrelliger,Scombridae,0.00826,3.137052,1
Raja,Rajidae,0.00275,3.22,1
Rainfordia,Serranidae,0.00389,3.12,1
Rachycentron,Rachycentridae,0.002631,3.258296,1
Rabaulichthys,Serranidae,0.00389,3.12,1
Pygoplites,Pomacanthidae,0.0302,2.89,1
Pterois,Scorpaenidae,0.0113,3.125,1
Pterocaesio,Caesioinidae,0.0125,3.132681,0.958698
Ptereleotris,Microdesmidae,0.00389,3.12,1
Pterapogon,Apogonidae,0.18,2.151,0.688
Pteragogus,Labridae,0.017605,2.965,1
Pseudupeneus,Mullidae,0.014704,3.150313,1
Pseudophycis,Moridae,0.00476,3.125,1
Pseudomonacanthus,Monocanthidae,0.02188,2.91,1
Pseudolabrus,Labridae,0.015344,3.016364,1
Pseudojuloides,Labridae,0.007218,3.06,1
Pseudogramma,Serranidae,0.008364,3.1066,1
Pseudodax,Labridae,0.01122,3.04,1
Pseudocoris,Labridae,0.007814,3.081429,1
Pseudochromis,Pseudochromidae,0.006678,3.085,1
Pseudocheilinus,Labridae,0.016383,2.955714,1
Pseudocheilinops,Labridae,0.0166,2.95,1
Pseudocaranx,Carangidae,0.01956,2.88598,1
Pseudobatos,Rhinobatidae,0.0045,2.92,1
Pseudobalistes,Balistidae,0.064201,2.835849,1
Pseudanthias,Serranidae,0.009789,2.980752,1
Pseudalutarius,Monocanthidae,0.0144,2.978,1
Psammoperca,Latidae,0.01023,3.04,1
Prognathodes,Chaetodontidae,0.02188,3.02,1
Pristis,Pristidae,0.00336,3.1,1
Pristipomoides,Lutjanidae,0.022286,2.973644,0.937
Pristilepis,Holocentridae,0.017778,3.02,1
Pristicon,Apogonidae,0.04191,2.730786,1
Pristiapogon,Apogonidae,0.012583,3.133812,1
Prionurus,Acanthuridae,0.037773,2.930667,1
Prionotus,Triglidae,0.011863,3.119532,1
Prionace,Carcharhinidae,0.002075,3.26791,1
Priolepis,Gobiidae,0.01865,2.8095,1
Priacanthus,Priacanthidae,0.029343,2.844358,0.96375
Premnas,Pomacentridae,0.02754,3.01,1
Pomatomus,Pomatomidae,0.015748,2.872803,1
Pomadasys,Haemulidae,0.016869,3.048145,0.970083
Pomachromis,Pomacentridae,0.01479,2.98,1
Pomacentrus,Pomacentridae,0.022427,2.980789,0.991098
Pomacanthus,Pomacanthidae,0.033451,2.921983,1
Polylepion,Labridae,0.005885,3.34,1
Polydactylus,Polynemidae,0.014972,2.993351,0.905
Pogonoperca,Serranidae,0.01122,3.06,1
Pogonias,Sciaenidae,0.018087,2.914871,1
Plotosus,Plotosidae,0.008,2.95,1
Pleurosicya,Gobiidae,0.00617,3.08,1
Plesiops,Plesiopidae,0.0067,3.496,1
Plectrypops,Holocentridae,0.019695,3.0445,1
Plectropomus,Serranidae,0.010108,3.097833,0.996788
Plectroglyphidodon,Pomacentridae,0.028632,2.9282,1
Plectranthias,Serranidae,0.011828,2.996364,1
Plectorhinchus,Haemulidae,0.020581,2.959829,0.9905
Platygillellus,Dactyloscopidae,0.01,3.041,1
Platybelone,Belonidae,0.001162,3.104311,1
Platax,Ephippidae,0.02814,2.963,1
Planiliza,Mugilidae,0.01308,2.952778,1
Plagiotremus,Blenniidae,0.004846,3.110038,1
Plagioscion,Sciaenidae,0.01047,3.06,1
Pinjalo,Lutjanidae,0.01479,2.98,1
Pictilabrus,Labridae,0.009847,3.046667,1
Pictichromis,Pseudochromidae,0.00049,3.1,1
Phyllopteryx,Syngnathidae,0.00049,3.1,1
Photopectoralis,Leiognathidae,0.040535,2.688369,1
Pholidichthys,Pholidichthyidae,0.00389,3.12,1
Phaeoptyx,Apogonidae,0.011307,3.146667,1
Petroscirtes,Blenniidae,0.00537,3.05,1
Pervagor,Monocanthidae,0.02227,2.9145,1
Peprilus,Stromateidae,0.027955,2.945472,1
Pentapodus,Nemipteridae,0.014727,2.979364,1
Pentaceropsis,Pentacerotidae,0.01995,3.01,1
Pempheris,Pempheridae,0.017471,2.965429,0.996429
Pellona,Pristigasteridae,0.01111,2.914447,1
Parupeneus,Mullidae,0.017213,3.108893,0.976667
Parma,Pomacentridae,0.00763,2.989,1
Parequula,Gerreidae,0.01413,3.02,1
Pareques,Sciaenidae,0.006746,3.1084,1
Pardachirus,Soleidae,0.00953,3.14402,1
Paratrypauchen,Gobiidae,0.025231,2.363207,1
Parastromateus,Carangidae,0.029563,2.895929,1
Parasphyraenops,Serranidae,0.01,3.04,1
Parascyllium,Parascylliidae,0.00389,3.12,1
Parapristipomoides,Lutjanidae,0.0138,3.02,1
Parapriacanthus,Pempheridae,0.01122,3.04,1
Paraplesiops,Plesiopidae,0.00468,3.18,1
Parapercis,Pinguipedidae,0.007534,3.078363,1
Paranthias,Serranidae,0.01415,2.953,0.937063
Paramonacanthus,Monocanthidae,0.033153,2.764667,1
Paraluteres,Monocanthidae,0.02188,2.91,1
Paralonchurus,Sciaenidae,0.002452,3.442681,1
Paralichthys,Paralichthyidae,0.010449,3.172088,1
Paralabrax,Serranidae,0.01814,3.011667,0.951811
Parajulis,Labridae,0.0098,3.21,1
Paragobiodon,Gobiidae,0.01995,3.01,1
Paraclinus,Labrisomidae,0.00903,3.025,1
Paracirrhites,Cirrhitidae,0.00933,3.08,1
Paracheilinus,Labridae,0.00977,3.05,1
Parachaetodon,Chaetodontidae,0.02188,3.02,1
Paracentropyge,Pomacanthidae,0.0302,2.89,1
Paracanthurus,Acanthuridae,0.02344,2.97,1
Paracaesio,Lutjanidae,0.0296,3.011,0.8105
Parablennius,Blenniidae,0.00859,3.005,1
Papilloculiceps,Platycephalidae,0.00513,3.04,1
Pantolabus,Carangidae,0.01413,2.96,1
Pagrus,Sparidae,0.015137,3.042053,1
Oxyurichthys,Gobiidae,0.00978,2.989112,1
Oxymonacanthus,Monocanthidae,0.01047,3.05,1
Oxycirrhites,Cirrhitidae,0.00389,3.12,1
Oxycheilinus,Labridae,0.020919,2.941503,0.961889
Othos,Serranidae,0.00933,2.97,1
Ostracion,Ostraciidae,0.041374,2.811143,1
Ostorhinchus,Apogonidae,0.009441,3.198185,1
Osteomugil,Mugilidae,0.006546,3.197373,1
Orthopristis,Haemulidae,0.01463,3.012804,1
Orectolobus,Orectolobidae,0.00389,3.12,1
Opsanus,Batrachoididae,0.022847,2.9098,1
Oplopomus,Gobiidae,0.00891,3.07,1
Oplegnathus,Oplegnathidae,0.01995,3.01,1
Opistognathus,Opistognathidae,0.00389,3.12,1
Opisthonema,Clupeidae,0.003267,3.309649,1
Ophthalmolepis,Labridae,0.00447,3.14,1
Ophioblennius,Blenniidae,0.018043,3.007667,1
Ophichthus,Ophichthidae,0.00148,2.91,1
Onigocia,Platycephalidae,0.0338,2.501,1
Omegophora,Tetraodontidae,0.02754,2.88,1
Olisthops,Odacidae,0.00389,3.12,1
Oligoplites,Carangidae,0.015133,2.758333,1
Ogilbyina,Pseudochromidae,0.02178,2.75249,1
Ogilbichthys,Bythitidae,0.01,3.04,1
Ogilbia,Bythitidae,0.005656,3.088,1
Ogcocephalus,Ogcocephalidae,0.01935,2.956667,1
Odonus,Balistidae,0.0438,2.91,0.751
Odontoscion,Sciaenidae,0.00708,3.068,1
Odontanthias,Serranidae,0.013278,2.97,1
Ocyurus,Lutjanidae,0.031261,2.717862,1
Novaculoides,Labridae,0.013,2.91,1
Novaculichthys,Labridae,0.0378,2.889,0.821
Notolabrus,Labridae,0.017522,3.0242,1
Notocirrhitus,Cirrhitidae,0.00933,3.08,1
Niphon,Serranidae,0.01148,3.05,1
Nicholsina,Scaridae,0.01096,3.08,1
Nexilosus,Pomacentridae,0.01995,3.03,1
Nes,Gobiidae,0.00871,3.09,1
Neotrygon,Dasyatidae,0.0295,3.01,1
Neosynchiropus,Callionymidae,0.01023,2.96,1
Neosebastes,Neosebastidae,0.01995,3.01,1
Neopomacentrus,Pomacentridae,0.021247,2.924105,0.964267
Neoodax,Odacidae,0.00389,3.12,1
Neoniphon,Holocentridae,0.017064,3.0404,0.98125
Neomyxus,Mugilidae,0.0297,3.08,0.95
Neoglyphidodon,Pomacentridae,0.006822,3.029161,0.967625
Neocirrhites,Cirrhitidae,0.01585,3.01,1
Nemipterus,Nemipteridae,0.016519,3.059306,0.943
Nemateleotris,Microdesmidae,0.00389,3.12,1
Nemanthias,Serranidae,0.00933,2.97,1
Negaprion,Carcharhinidae,0.00254,3.16,1
Nectamia,Apogonidae,0.024394,2.96643,1
Nebrius,Ginglymostomatidae,0.00417,3.07,1
Nebris,Sciaenidae,0.009195,3.072495,1
Neatypus,Kyphosidae,0.02291,2.99,1
Naucrates,Carangidae,0.0138,2.95,1
Naso,Acanthuridae,0.027685,2.967318,0.963097
Narcine,Narcinidae,0.0128,2.95,1
Myrophis,Ophichthidae,0.00076,3.06,1
Myripristis,Holocentridae,0.023217,3.056004,0.976136
Myrichthys,Ophichthidae,0.001498,2.91,1
Myliobatis,Myliobatidae,0.00383,3.083333,1
Mycteroperca,Serranidae,0.012079,3.097892,1
Mustelus,Triakidae,0.0034,3.006,1
Muraenesox,Muraenesocidae,0.002913,2.800589,0.98
Muraena,Muraenidae,0.00112,3.07,1
Mulloidichthys,Mullidae,0.012583,3.050432,0.985857
Mugil,Mugilidae,0.015339,2.894269,0.99
Monotaxis,Lethrinidae,0.029768,2.910754,0.975
Monodactylus,Monodactylidae,0.031999,2.939938,0.954
Monacanthus,Monacanthidae,0.0144,3.2105,1
Monacanthus,Monocanthidae,0.0798,2.506,1
Mola,Molidae,0.0454,3.05,1
Mobula,Myliobatidae,0.005867,3.066667,1
Minilabrus,Labridae,0.00447,3.14,1
Microspathodon,Pomacentridae,0.022893,3.020667,1
Micropogonias,Sciaenidae,0.007754,3.06194,1
Microphis,Syngnathidae,0.0005,3.09,1
Microlepidotus,Haemulidae,0.01566,2.98,1
Microgobius,Gobiidae,0.00685,2.976667,1
Micrognathus,Syngnathidae,0.0005,3.09,1
Microcanthus,Kyphosidae,0.05255,2.81831,0.976
Meuschenia,Monocanthidae,0.02188,2.91,1
Menticirrhus,Sciaenidae,0.007515,3.0585,1
Menidia,Atherinopsidae,0.005635,3.0515,1
Membras,Atherinopsidae,0.00525,3.08,1
Melichthys,Balistidae,0.019067,3.144667,1
Meiacanthus,Blenniidae,0.00537,3.05,1
Meganthias,Serranidae,0.02512,2.97,1
Megalops,Megalopidae,0.009702,2.989612,0.892
Megalaspis,Carangidae,0.07462,2.597373,1
Mecaenichthys,Pomacentridae,0.02239,2.99,1
Manonichthys,Pseudochromidae,0.01995,3.01,1
Malacoctenus,Labrisomidae,0.009403,3.0472,1
Malacanthus,Malacanthidae,0.010447,2.917333,1
Makaira,Istiophoridae,0.0054,3.07,0.917431
Mahidolia,Gobiidae,0.00617,3.08,1
Macropharyngodon,Labridae,0.01,3.06,1
Macrodon,Sciaenidae,0.004023,3.301044,1
Macolor,Lutjanidae,0.02455,2.94,0.921
Lythrypnus,Gobiidae,0.00992,2.973,1
Lycengraulis,Engraulidae,0.011166,2.968331,0.923729
Luzonichthys,Serranidae,0.00389,3.12,1
Lutjanus,Lutjanidae,0.018414,2.97991,0.984142
Lucayablennius,Chaenopsidae,0.00457,3.08,1
Lotilia,Gobiidae,0.00617,3.08,1
Lonchurus,Sciaenidae,0.00891,3.07,1
Lonchopisthus,Opistognathidae,0.00389,3.12,1
Lobotes,Lobotidae,0.0428,2.59,1
Lipogramma,Grammatidae,0.008777,3.066667,1
Lipocheilus,Lutjanidae,0.149,2.488,0.922509
Liopropoma,Serranidae,0.013709,3.066667,1
Leurochilus,Dactyloscopidae,0.00389,3.12,1
Lethrinus,Lethrinidae,0.015221,3.031889,0.983037
Leptoscarus,Scaridae,0.017687,2.961067,1
Leptojulis,Labridae,0.00977,3.05,1
Lepidozygus,Pomacentridae,0.01479,2.98,1
Lepidoperca,Serranidae,0.1,3.04,1
Lepidonectes,Tripterygiidae,0.0055,3.08,1
Leiostomus,Sciaenidae,0.00921,3.072,1
Leiognathus,Leiognathidae,0.019754,3.002415,1
Latropiscis,Aulopidae,0.00437,3.13,1
Latridopsis,Latridae,0.01202,3.04,1
Larimus,Sciaenidae,0.009482,3.076804,1
Larabicus,Labridae,0.00977,3.05,1
Lagodon,Sparidae,0.01113,3.090173,1
Lagocephalus,Tetraodontidae,0.013994,3.078304,1
Lactoria,Ostraciidae,0.02623,2.87415,1
Lactophrys,Ostraciidae,0.22409,2.365,1
Lachnolaimus,Labridae,0.01941,2.95,1
Labropsis,Labridae,0.00977,3.05,1
Labroides,Labridae,0.00491,3.146473,1
Labrisomus,Labrisomidae,0.01006,3.163667,0.951567
Labrichthys,Labridae,0.01503,3,1
Labracinus,Pseudochromidae,0.01995,3.01,1
Kyphosus,Kyphosidae,0.018742,3.039305,0.973375
Kuhlia,Kuhliidae,0.022403,3.06829,0.971638
Kryptophaneron,Anomalopidae,0.01122,3.04,1
Kryptolebias,Rivulidae,0.00479,3.14,1
Koumansetta,Gobiidae,0.00617,3.08,1
Johnrandallia,Chaetodontidae,0.021,3.215,1
Jenkinsia,Clupeidae,0.003395,3.36405,1
Jaydia,Apogonidae,0.01161,3.4483,1
Istiophorus,Istiophoridae,0.00585,2.99,1
Istigobius,Gobiidae,0.014508,2.94534,1
Istiblennius,Blenniidae,0.00741,3,1
Isogomphodon,Carcharhinidae,0.00457,3.11,1
Inimicus,Synanceiidae,0.015532,2.975742,1
Iniistius,Labridae,0.010355,3.0325,1
Idiotropiscis,Syngnathidae,0.00049,3.1,1
Hypsypops,Pomacentridae,0.02239,2.99,1
Hypsoblennius,Blenniidae,0.00741,3,1
Hyporthodus,Serranidae,0.01336,3.124,1
Hyporhamphus,Hemiramphidae,0.001919,3.439336,0.984
Hypoplectrus,Serranidae,0.015532,3.0492,1
Hypoplectrodes,Serranidae,0.00933,2.97,1
Hypoatherina,Atherinidae,0.00562,3.12,1
Hypleurochilus,Blenniidae,0.00835,3.003333,1
Hypanus,Holocentridae,0.0739,2.81,1
Hypanus,Dasyatidae,0.039567,3.023333,1
Hoplopagrus,Lutjanidae,0.0228,3,1
Hoplolatilus,Malacanthidae,0.00537,3.03,1
Hologymnosus,Labridae,0.0049,3.11,1
Holocentrus,Holocentridae,0.022158,2.709628,1
Holacanthus,Pomacanthidae,0.032633,2.920167,1
Histrio,Antennariidae,0.01995,3.01,1
Hipposcarus,Scaridae,0.0161,3.05,1
Hippocampus,Syngnathidae,0.00427,3,1
Hexanchus,Hexanchidae,0.0135,2.8015,1
Heteroscarus,Odacidae,0.00692,3.08,1
Heteropriacanthus,Priacanthidae,0.02793,2.82313,1
Heterodontus,Heterodontidae,0.00389,3.12,1
Heteroconger,Congridae,0.00102,3.06,1
Heteroclinus,Clinidae,0.01675,2.77476,1
Herklotsichthys,Clupeidae,0.006322,3.140701,1
Heniochus,Chaetodontidae,0.021159,3.083247,1
Hemitaurichthys,Chaetodontidae,0.02188,3.02,1
Hemiramphus,Hemiramphidae,0.096157,2.697,1
Hemigymnus,Labridae,0.02423,2.92262,1
Hemiglyphidodon,Pomacentridae,0.002239,2.99,1
Hemiemblemaria,Chaenopsidae,0.00457,3.08,1
Hemicaranx,Carangidae,0.01923,2.93,1
Helcogramma,Tripterygiidae,0.0055,3.08,1
Harengula,Clupeidae,0.007399,3.18173,1
Haliophis,Pseudochromidae,0.00102,3.06,1
Halichoeres,Labridae,0.009374,3.074489,1
Haemulon,Haemulidae,0.025767,2.932135,0.993158
Gymnura,Gymnuridae,0.0036,3.21,1
Gymnothorax,Muraenidae,0.001249,3.13059,1
Gymnosarda,Scombridae,0.00788,3.065,1
Gymnomuraena,Muraenidae,0.00112,3.07,1
Gymnocranius,Lethrinidae,0.025904,2.937519,0.956621
Gymnocaesio,Caesioinidae,0.01122,3.04,1
Gunnellichthys,Microdesmidae,0.00389,3.12,1
Gunnelichthys,Microdesmidae,0.00389,3.12,1
Guavina,Eleotridae,0.01047,3.06,1
Grammistops,Serranidae,0.00407,3.14,1
Grammistes,Serranidae,0.00407,3.14,1
Grammatorcynus,Scombridae,0.00647,3,1
Grammatobothus,Bothidae,0.01351,2.935305,1
Gramma,Grammatidae,0.00389,3.12,1
Gracila,Serranidae,0.01148,3.05,1
Gomphosus,Labridae,0.01838,2.70269,1
Gobiomorus,Eleotridae,0.0103,3,1
Gobiodon,Gobiidae,0.026242,2.914862,1
Gobioclinus,Labrisomidae,0.004872,3.0825,1
Gnatholepis,Gobiidae,0.009217,3.106667,1
Gnathodentex,Lethrinidae,0.014262,3.024904,1
Gnathanodon,Carangidae,0.016908,2.926345,1
Glaucosoma,Glaucosomatidae,0.01479,2.98,1
Girella,Kyphosidae,0.015258,3.0524,1
Ginsburgellus,Gobiidae,0.00871,3.09,1
Ginglymostoma,Ginglymostomatidae,0.0106,2.892,1
Gillellus,Dactyloscopidae,0.006945,3.0805,1
Giganthias,Serranidae,0.00933,2.97,1
Gerres,Gerreidae,0.015036,3.017856,0.967926
Genyatremus,Haemulidae,0.019919,2.988552,1
Genicanthus,Pomacanthidae,0.0302,2.89,1
Gazza,Leiognathidae,0.031689,2.897423,1
Galeocerdo,Carcharhinidae,0.00129,3.251442,1
Fusigobius,Gobiidae,0.00891,3.07,1
Fowlerichthys,Antennariidae,0.01995,3.01,1
Fowleria,Apogonidae,0.018087,3.371205,1
Forcipiger,Chaetodontidae,0.02362,3.033667,1
Floridichthys,Cyprinodontidae,0.01072,3.22,1
Fistularia,Fistulariidae,0.005592,2.770557,1
Fibramia,Apogonidae,0.016757,3.006059,1
Exyrias,Gobiidae,0.01296,2.88208,1
Exallias,Blenniidae,0.01995,3.01,1
Eviota,Gobiidae,0.00617,3.08,1
Euthynnus,Scombridae,0.0255,2.854,0.977902
Eupetrichthys,Labridae,0.01,3.04,1
Eugerres,Gerreidae,0.023524,2.93,1
Eucrossorhinus,Orectolobidae,0.00389,3.12,1
Eucinostomus,Gerreidae,0.015638,3.060686,0.978833
Eubleekeria,Leiognathidae,0.023679,2.891117,1
Eubalichthys,Monocanthidae,0.02188,2.91,1
Etropus,Paralichthyidae,0.006528,3.21245,1
Etelis,Lutjanidae,0.022562,2.815867,1
Erotelis,Eleotridae,0.01047,3.06,1
Equulites,Leiognathidae,0.017557,3.160076,0.975
Equetus,Sciaenidae,0.005,3.457,1
Epinephelus,Serranidae,0.015452,3.010854,1
Epinephelides,Serranidae,0.00933,2.97,1
Epibulus,Labridae,0.00897,3.10051,1
Entromacrodus,Blenniidae,0.00741,3,1
Enoplosus,Enoplosidae,0.00389,3.12,1
Enneapterygius,Tripterygiidae,0.0055,3.08,1
Enneanectes,Tripterygiidae,0.005766,3.1034,1
Engyprosopon,Bothidae,0.019024,2.840826,1
Engraulis,Engraulidae,0.00457,3.12,1
Enchelynassa,Muraenidae,0.00112,3.07,1
Enchelycore,Muraenidae,0.00138,3.0625,1
Emmelichthyops,Haemulidae,0.00389,3.12,1
Emblemariopsis,Chaenopsidae,0.00457,3.08,1
Emblemaria,Chaenopsidae,0.00457,3.08,1
Elops,Elopidae,0.007125,3.046077,1
Ellochelon,Mugilidae,0.01023,3.03,1
Eleotris,Eleotridae,0.00818,3.11,1
Eleotrica,Gobiidae,0.00617,3.08,1
Elagatis,Carangidae,0.0845,2.556,0.711
Elacatinus,Gobiidae,0.00793,3.083091,1
Ekemblemaria,Chaenopsidae,0.00457,3.08,1
Ecsenius,Blenniidae,0.00891,2.961088,1
Echidna,Muraenidae,0.0007,3.086667,1
Echeneis,Echeneidae,0.001796,3.242444,1
Dunckerocampus,Syngnathidae,0.00049,3.1,1
Dotalabrus,Labridae,0.01,3.04,1
Doryrhamphus,Syngnathidae,0.00122,3.139,1
Dorosoma,Clupeidae,0.016814,2.790434,1
Dormitator,Eleotridae,0.01047,3.06,1
Doratonotus,Labridae,0.01122,3.03,1
Dischistodus,Pomacentridae,0.01479,2.98,1
Dipterygonotus,Caesioinidae,0.01122,3.04,1
Diproctacanthus,Labridae,0.00955,3.05,1
Diploprion,Serranidae,0.00886,3.2775,1
Diplogrammus,Callionymidae,0.00771,2.82,1
Diplodus,Sparidae,0.013458,3.03,1
Diplobatis,Narcinidae,0.01047,2.87,1
Diplectrum,Serranidae,0.006816,3.188666,1
Diodon,Diodontidae,0.093874,2.728719,1
