Genus,Species,Family,Species_name,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Zoramia,perlita,Apogonidae,Zoramia perlita,0.01549,3.07,1,5,standard length,3.4,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Sphyrna,tiburo,Sphyrnidae,Sphyrna tiburo,0.00069,3.372,1,150,total length,3.91,49.68,"Tropical Atlantic,Tropical Eastern Pacific",,invertivore-mobile,macro-invertivore,solitary
Asterorhombus,cocosensis,Bothidae,Asterorhombus cocosensis,0.01047,3,1,12,standard length,3.6,21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Acanthurus,fowleri,Acanthuridae,Acanthurus fowleri,0.01698,2.99,1,45,standard length,2.18,45.32,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,solitary
Amphiprion,sebae,Pomacentridae,Amphiprion sebae,0.01122,3.04,1,16,total length,2.72,27.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Abudefduf,abdominalis,Pomacentridae,Abudefduf abdominalis,0.0369,3.13,0.865052,30,total length,3.02,35.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Mobula,tarapacana,Myliobatidae,Mobula tarapacana,0.01,3.04,1,328,wing diameter,3.79,55.09,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,
Parupeneus,angulatus,Mullidae,Parupeneus angulatus,0.01202,3.09,1,14.25,standard length,3.4,20.55,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Eleotris,perniger,Eleotridae,Eleotris perniger,0.01047,3.06,1,13,standard length,3.6,25,Tropical Atlantic,,invertivore-mobile,macro-invertivore,small group
Scomberomorus,commerson,Scombridae,Scomberomorus commerson,0.007283,2.994036,1,240,fork length,4.5,51.82,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Oxyurichthys,papuensis,Gobiidae,Oxyurichthys papuensis,0.01232,2.978223,1,20,standard length,3.5,37.28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Acanthurus,nigroris,Acanthuridae,Acanthurus nigroris,0.02291,2.96,1,25,total length,2,24.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Microspathodon,dorsalis,Pomacentridae,Microspathodon dorsalis,0.02239,2.99,1,31,standard length,2.1,46.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Gymnothorax,javanicus,Muraenidae,Gymnothorax javanicus,0.00095,3.1,1,300,total length,3.87,85.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Neomyxus,leuciscus,Mugilidae,Neomyxus leuciscus,0.0297,3.08,0.95,46,standard length,2.85,53.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,large group
Mulloidichthys,vanicolensis,Mullidae,Mulloidichthys vanicolensis,0.012151,2.961174,1,38,total length,3.6,23.19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Hypoplectrodes,cardinalis,Serranidae,Hypoplectrodes cardinalis,0.00933,2.97,1,10,total length,3.6,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Chromis,flavomaculata,Pomacentridae,Chromis flavomaculata,0.01479,2.98,1,16,total length,2.96,27.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Pogonoperca,punctata,Serranidae,Pogonoperca punctata,0.01122,3.06,1,35,total length,4,34.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Abudefduf,margariteus,Pomacentridae,Abudefduf margariteus,0.02455,3.01,1,16,standard length,2.72,32.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,planktivore,medium group
Atherinella,milleri,Atherinopsidae,Atherinella milleri,0.00525,3.08,1,5.5,total length,2.8,10,Tropical Atlantic,,omnivore,micro-invertivore,large group
Cirrhilabrus,joanallenae,Labridae,Cirrhilabrus joanallenae,0.0166,2.95,1,8.5,total length,3.3,15,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Thalassoma,hardwicke,Labridae,Thalassoma hardwicke,0.008713,3.208829,1,20,total length,3.5,13.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Stanulus,talboti,Blenniidae,Stanulus talboti,0.00741,3,1,4.8,total length,2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Zebrasoma,desjardinii,Acanthuridae,Zebrasoma desjardinii,0.02344,2.97,1,40,total length,2,32.19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Epinephelus,akaara,Serranidae,Epinephelus akaara,0.01148,3.04,1,58,total length,3.95,46.28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Plagiotremus,laudandus,Blenniidae,Plagiotremus laudandus,0.00537,3.05,1,8,total length,4.4,16.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,cleaner,
Chrysiptera,sinclairi,Pomacentridae,Chrysiptera sinclairi,0.01479,2.98,1,5,standard length,2.74,12.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,planktivore,small group
Acanthistius,pardalotus,Serranidae,Acanthistius pardalotus,0.01,3.04,1,,,4.1,49.32,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Hologymnosus,longipes,Labridae,Hologymnosus longipes,0.0049,3.11,1,40,total length,4,38,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Tylosurus,choram,Belonidae,Tylosurus choram,0.00132,3.1,1,120,total length,4.4,59.65,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Upeneus,margarethae,Mullidae,Upeneus margarethae,0.00933,3.09,1,11,standard length,3.4,15.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Stegastes,lividus,Pomacentridae,Stegastes lividus,0.0652,2.741,0.885,11,total length,2,22.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Synodus,binotatus,Synodontidae,Synodus binotatus,0.00407,3.19,1,18,total length,4,13.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Epinephelus,multinotatus,Serranidae,Epinephelus multinotatus,0.0167,2.964,1,100,total length,3.86,39.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Urolophus,orarius,Urolophidae,Urolophus orarius,0.01,3.04,1,31,total length,3.4,50.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Enneanectes,carminalis,Tripterygiidae,Enneanectes carminalis,0.00883,3.197,1,3,total length,2.78,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,
Halichoeres,cyanocephalus,Labridae,Halichoeres cyanocephalus,0.01,3.08,1,30,total length,3.6,34.51,Tropical Atlantic,,invertivore-mobile,macro-invertivore,small group
Bothus,pantherinus,Bothidae,Bothus pantherinus,0.00292,3.61292,1,39,total length,3.5,47.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Pseudogramma,pectoralis,Serranidae,Pseudogramma pectoralis,0.00407,3.14,1,,,3.3,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Anampses,chrysocephalus,Labridae,Anampses chrysocephalus,0.01,3.06,1,17,total length,3.5,25.85,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Chlorurus,spilurus,Scaridae,Chlorurus spilurus,0.020118,3.059482,1,40,total length,2.62,21.48,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,excavator,small group
Chrysiptera,brownriggii,Pomacentridae,Chrysiptera brownriggii,0.01479,2.98,1,8,total length,2.78,16.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,small group
Choeroichthys,latispinosus,Syngnathidae,Choeroichthys latispinosus,0.00049,3.1,1,,,3.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Scarus,rubroviolaceus,Scaridae,Scarus rubroviolaceus,0.0114,3.18,1,70,total length,2,51.54,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,excavator,small group
Myrichthys,maculosus,Ophichthidae,Myrichthys maculosus,0.00151,2.91,1,100,total length,3.6,45.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Parapercis,cylindrica,Pinguipedidae,Parapercis cylindrica,0.0143,2.95,1,23,total length,3.2,30.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,micro-invertivore,small group
Kyphosus,ocyurus,Kyphosidae,Kyphosus ocyurus,0.0182,3.03,1,59,total length,3.5,47.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,planktivore,medium group
Hemigymnus,melapterus,Labridae,Hemigymnus melapterus,0.02423,2.92262,1,37,standard length,3.55,49.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Liopropoma,carmabi,Serranidae,Liopropoma carmabi,0.01122,3.04,1,6,total length,3.3,10,Tropical Atlantic,,planktivore,planktivore,small group
Plagiotremus,azaleus,Blenniidae,Plagiotremus azaleus,0.00537,3.05,1,10,total length,4.42,20.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,cleaner,
Pempheris,multiradiata,Pempheridae,Pempheris multiradiata,0.01585,2.99,1,28,total length,3.5,31.55,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Enchelycore,lichenosa,Muraenidae,Enchelycore lichenosa,0.00112,3.07,1,90,total length,4.5,57.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Scartella,cristata,Blenniidae,Scartella cristata,0.0148,2.86,1,12,total length,2.5,23,Tropical Atlantic,,omnivore,cropper/grazer,solitary
Amblypomacentrus,clarus,Pomacentridae,Amblypomacentrus clarus,0.01479,2.98,1,6,total length,2.8,12.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Alosa,chrysochloris,Clupeidae,Alosa chrysochloris,0.013595,2.856065,1,50,standard length,3.89,46.51,Tropical Atlantic,,piscivore,pisci-invertivore,medium group
Chaetodon,multicinctus,Chaetodontidae,Chaetodon multicinctus,0.029,3.19,0.825,12,total length,3,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,small group
Acanthurus,coeruleus,Acanthuridae,Acanthurus coeruleus,0.02147,3.022,1,39,total length,2,58.55,Tropical Atlantic,,herbivore-macroalgae,browser,medium group
Thalassoma,septemfasciatum,Labridae,Thalassoma septemfasciatum,0.00977,3.05,1,31,total length,3.6,34.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Choeroichthys,suillus,Syngnathidae,Choeroichthys suillus,0.00049,3.1,1,6.8,standard length,3.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Acanthurus,leucocheilus,Acanthuridae,Acanthurus leucocheilus,0.02291,2.96,1,45,standard length,2.18,45.32,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Amblyeleotris,guttata,Gobiidae,Amblyeleotris guttata,0.00617,3.08,1,11,standard length,3.4,26.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Pomacanthus,asfur,Pomacanthidae,Pomacanthus asfur,0.0309,2.9,1,40,total length,2.68,37.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,solitary
Oxycheilinus,nigromarginatus,Labridae,Oxycheilinus nigromarginatus,0.0166,2.95,1,11.3,standard length,3.7,24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Halichoeres,stigmaticus,Labridae,Halichoeres stigmaticus,0.01,3.08,1,12.8,total length,3.4,22.52,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Anisotremus,scapularis,Haemulidae,Anisotremus scapularis,0.0199,3.013,1,40,total length,3.27,35.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Scarus,longipinnis,Scaridae,Scarus longipinnis,0.01445,3.04,1,40,total length,2,30.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,
Blenniella,cyanostigma,Blenniidae,Blenniella cyanostigma,0.00741,3,1,8.1,standard length,2.8,21.17,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,
Balistes,polylepis,Balistidae,Balistes polylepis,0.043,2.71,1,76,total length,3.34,53.94,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Aplodactylus,arctidens,Aplodactylidae,Aplodactylus arctidens,0.00526,3.207,1,65,total length,2.51,47.09,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Pseudogramma,megamyctera,Serranidae,Pseudogramma megamyctera,0.00407,3.14,1,,,3.5,10.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Lutjanus,russellii,Lutjanidae,Lutjanus russellii,0.014635,2.99119,1,50,total length,4.1,35.55,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,large group
Cryptocentrus,leucostictus,Gobiidae,Cryptocentrus leucostictus,0.00617,3.08,1,7.5,standard length,3.3,20.6,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Menticirrhus,littoralis,Sciaenidae,Menticirrhus littoralis,0.00402,3.247,1,48.3,total length,3.3,32.54,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Canthigaster,margaritata,Tetraodontidae,Canthigaster margaritata,0.02818,2.094,1,31.2,total length,3.1,25.4,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,solitary
Paracheilinus,bellae,Labridae,Paracheilinus bellae,0.00977,3.05,1,6.5,total length,3.4,12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Apogon,townsendi,Apogonidae,Apogon townsendi,0.01047,3.1,1,6.5,standard length,3.4,10,Tropical Atlantic,,planktivore,planktivore,small group
Scolopsis,trilineata,Nemipteridae,Scolopsis trilineata,0.0182,2.98,1,25,total length,3.5,24.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Choerodon,venustus,Labridae,Choerodon venustus,0.01698,3.03,1,65,total length,3.5,57.6,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Canthigaster,figueiredoi,Tetraodontidae,Canthigaster figueiredoi,0.02818,2.97,1,12,total length,3.07,10.53,Tropical Atlantic,,omnivore,micro-invertivore,pair
Naso,lituratus,Acanthuridae,Naso lituratus,0.0324,2.94,0.848176,46,standard length,2.32,34.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-macroalgae,browser,small group
Cirrhilabrus,lineatus,Labridae,Cirrhilabrus lineatus,0.0166,2.95,1,12,total length,3.4,21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Nemanthias,carberryi,Serranidae,Nemanthias carberryi,0.00933,2.97,1,13,total length,3.4,19.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Labropsis,micronesica,Labridae,Labropsis micronesica,0.00977,3.05,1,12,total length,3.4,21.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,solitary
Hemitaurichthys,thompsoni,Chaetodontidae,Hemitaurichthys thompsoni,0.02188,3.02,1,18,total length,3.4,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Lutjanus,campechanus,Lutjanidae,Lutjanus campechanus,0.013159,3.033478,1,100,total length,4,55.11,Tropical Atlantic,,piscivore,pisci-invertivore,small group
Lutjanus,colorado,Lutjanidae,Lutjanus colorado,0.0159,2.98,1,91,total length,3.39,54.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Carcharhinus,amblyrhynchos,Carcharhinidae,Carcharhinus amblyrhynchos,0.005055,3.21133,1,255,total length,4.5,84.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Balistapus,undulatus,Balistidae,Balistapus undulatus,0.0565,2.947,0.840689,30,total length,3.37,31.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Callionymus,enneactis,Callionymidae,Callionymus enneactis,0.00933,2.77,1,8,total length,3.31,12.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Gymnothorax,ocellatus,Muraenidae,Gymnothorax ocellatus,0.000131,3.64547,1,90,total length,4.1,38.51,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Fistularia,petimba,Fistulariidae,Fistularia petimba,0.000285,3.18167,1,200,total length,4.43,71,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Dermatolepis,striolata,Serranidae,Dermatolepis striolata,0.01148,3.05,1,85,total length,4.03,58.27,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Calamus,proridens,Sparidae,Calamus proridens,0.0302,2.71,0.88,46,total length,3.5,43.18,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Lethrinus,ravus,Lethrinidae,Lethrinus ravus,0.0104,3.06476,1,25,standard length,3.6,32.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,macro-invertivore,small group
Halichoeres,prosopeion,Labridae,Halichoeres prosopeion,0.01,3.08,1,13,standard length,3.5,26.5,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Cociella,crocodilus,Platycephalidae,Cociella crocodilus,0.00412,3.205,1,50,total length,3.86,36.98,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Upeneus,guttatus,Mullidae,Upeneus guttatus,0.01122,3.06,1,16,standard length,3.52,22.54,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Paracheilinus,attenuatus,Labridae,Paracheilinus attenuatus,0.00977,3.05,1,6,standard length,3.4,13,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Ostorhinchus,wassinki,Apogonidae,Ostorhinchus wassinki,0.00646,3.19,1,7,total length,3.19,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,solitary
Pomacentrus,stigma,Pomacentridae,Pomacentrus stigma,0.02344,2.99,1,13,total length,2.67,24.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Gracila,albomarginata,Serranidae,Gracila albomarginata,0.01148,3.05,1,40,total length,4.2,36.4,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Cirrhitops,hubbardi,Cirrhitidae,Cirrhitops hubbardi,0.01585,3.01,1,25,total length,4.04,13.16,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Harengula,jaguana,Clupeidae,Harengula jaguana,0.00637,3.250507,1,21.2,total length,3.4,20.83,Tropical Atlantic,,planktivore,planktivore,large group
Paragobiodon,xanthosoma,Gobiidae,Paragobiodon xanthosoma,0.01995,3.01,1,4,total length,3.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,pair
Carcharhinus,albimarginatus,Carcharhinidae,Carcharhinus albimarginatus,0.00437,3.1,1,300,total length,4.48,75.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Parupeneus,indicus,Mullidae,Parupeneus indicus,0.0148,3.1,0.933,45,total length,3.5,35.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Centropyge,flavissima,Pomacanthidae,Centropyge flavissima,0.0302,2.89,1,14,total length,2.75,21.97,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Paracentropyge,multifasciata,Pomacanthidae,Paracentropyge multifasciata,0.0302,2.89,1,12,total length,2.79,19.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Sacura,parva,Serranidae,Sacura parva,0.01,3.04,1,12,total length,3.4,16.74,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Coris,dorsomacula,Labridae,Coris dorsomacula,0.01,3.06,1,38,total length,3.5,37.49,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Myripristis,leiognathus,Holocentridae,Myripristis leiognathus,0.00534,3.613,1,18,total length,3.1,13.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Istigobius,ornatus,Gobiidae,Istigobius ornatus,0.010215,3.09684,1,11,total length,3.5,23.03,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Gymnocranius,euanus,Lethrinidae,Gymnocranius euanus,0.019829,2.926623,1,45,total length,3.8,40.48,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
