"T_ID","richness","abundance","shannon","simpson","Survey","Reef","Site","Transect","Date","Lat","Long","Depth","Temperature","Habitat","Aspect","Benthic_Complexity"
"Feb_21_Herald_1_T1",16,96,1.88049080066063,0.767578125,"Feb_21","Herald","Herald_1","T1",2021-02-15,-16.9711,149.12769,34.3,29.9,"passage","flat",3
"Feb_21_Herald_1_T2",7,26,1.59109556359594,0.751479289940828,"Feb_21","Herald","Herald_1","T2",2021-02-15,-16.9711,149.12769,35.3,29.8,"passage","flat",2
"Feb_21_Herald_1_T3",1,1,0,0,"Feb_21","Herald","Herald_1","T3",2021-02-15,-16.9711,149.12769,37.6,29.4,"passage","flat",1
"Feb_21_Herald_1_T4",19,81,2.43998055782708,0.87852461515013,"Feb_21","Herald","Herald_1","T4",2021-02-15,-16.9711,149.12769,43.5,29.2,"slope_terrace","gentle_slope",2
"Feb_21_Herald_1_T5",18,59,2.55564704827843,0.895719620798621,"Feb_21","Herald","Herald_1","T5",2021-02-15,-16.9711,149.12769,43.8,29,"slope_terrace","gentle_slope",2
"Feb_21_Herald_1_T6",29,176,2.28873955461844,0.803202479338843,"Feb_21","Herald","Herald_1","T6",2021-02-15,-16.9711,149.12769,41.7,29.1,"slope_terrace","gentle_slope",2
"Feb_21_Herald_1_T7",45,274,3.28178479388851,0.94965102029943,"Feb_21","Herald","Herald_1","T7",2021-02-15,-16.9711,149.12769,40.5,29.1,"slope_terrace","gentle_slope",2
"Feb_21_Herald_1_T8",35,168,3.08197017264718,0.934665532879819,"Feb_21","Herald","Herald_1","T8",2021-02-15,-16.9711,149.12769,40.4,29.2,"slope_terrace","gentle_slope",2
"Feb_21_Herald_1_T9",28,108,2.9133673359021,0.926268861454047,"Feb_21","Herald","Herald_1","T9",2021-02-15,-16.9711,149.12769,37.1,29.3,"slope_terrace","gentle_slope",3
"Feb_21_Holmes_2_T1",12,31,1.91989982856095,0.772112382934443,"Feb_21","Holmes","Holmes_2","T1",2021-02-21,-16.42536,147.98399,62.7,27.1,"outer_reef","steep_slope",3
"Feb_21_Holmes_2_T10",23,73,2.7187905246993,0.905986113717395,"Feb_21","Holmes","Holmes_2","T10",2021-02-21,-16.42536,147.98399,37,28,"outer_reef","gentle_slope",2
"Feb_21_Holmes_2_T11",38,94,3.23764530314167,0.944997736532368,"Feb_21","Holmes","Holmes_2","T11",2021-02-21,-16.42536,147.98399,35,28.4,"slope_terrace","gentle_slope",2
"Feb_21_Holmes_2_T12",14,22,2.41334063977977,0.880165289256198,"Feb_21","Holmes","Holmes_2","T12",2021-02-21,-16.42536,147.98399,31.2,29.2,"slope_terrace","gentle_slope",2
"Feb_21_Holmes_2_T13",26,49,3.08148580024391,0.945439400249896,"Feb_21","Holmes","Holmes_2","T13",2021-02-21,-16.42536,147.98399,28,29.4,"slope_terrace","gentle_slope",2
"Feb_21_Holmes_2_T2",16,32,2.55653976160646,0.90625,"Feb_21","Holmes","Holmes_2","T2",2021-02-21,-16.42536,147.98399,63.7,26.3,"outer_reef","steep_slope",3
"Feb_21_Holmes_2_T3",11,68,1.41480754795448,0.623702422145329,"Feb_21","Holmes","Holmes_2","T3",2021-02-21,-16.42536,147.98399,64.2,26.6,"outer_reef","steep_slope",4
"Feb_21_Holmes_2_T4",13,76,2.00273717295896,0.804709141274238,"Feb_21","Holmes","Holmes_2","T4",2021-02-21,-16.42536,147.98399,63.2,26.5,"outer_reef","steep_slope",4
"Feb_21_Holmes_2_T5",8,39,1.41682760438235,0.660092044707429,"Feb_21","Holmes","Holmes_2","T5",2021-02-21,-16.42536,147.98399,63.1,26.4,"outer_reef","steep_slope",3
"Feb_21_Holmes_2_T6",12,19,2.3510808234226,0.89196675900277,"Feb_21","Holmes","Holmes_2","T6",2021-02-21,-16.42536,147.98399,56.6,26.7,"outer_reef","steep_slope",3
"Feb_21_Holmes_2_T7",14,83,1.61767576313503,0.658150674989113,"Feb_21","Holmes","Holmes_2","T7",2021-02-21,-16.42536,147.98399,54.5,26.8,"outer_reef","steep_slope",4
"Feb_21_Holmes_2_T8",12,57,1.76279510598092,0.751000307787011,"Feb_21","Holmes","Holmes_2","T8",2021-02-21,-16.42536,147.98399,46.6,26.9,"outer_reef","wall",4
"Feb_21_Holmes_2_T9",15,50,2.36881424425826,0.8696,"Feb_21","Holmes","Holmes_2","T9",2021-02-21,-16.42536,147.98399,45,27,"outer_reef","wall",4
"Feb_21_Kenn_1_T1",16,107,1.44950570023874,0.554458904707835,"Feb_21","Kenn","Kenn_1","T1",2021-02-08,-21.21291,155.78185,40.8,26.3,"outer_reef","steep_slope",4
"Feb_21_Kenn_1_T2",22,109,2.32665182399054,0.855483545156132,"Feb_21","Kenn","Kenn_1","T2",2021-02-08,-21.21291,155.78185,31.1,26.5,"outer_reef","steep_slope",4
"Feb_21_Kenn_1_T3",25,184,2.09695635944435,0.737417296786389,"Feb_21","Kenn","Kenn_1","T3",2021-02-08,-21.21291,155.78185,31.4,26.4,"slope_terrace","gentle_slope",3
"Feb_21_Kenn_1_T4",24,296,2.00010496861832,0.794306975894814,"Feb_21","Kenn","Kenn_1","T4",2021-02-08,-21.21291,155.78185,32.3,26.4,"slope_terrace","gentle_slope",3
"Feb_21_Lihou_N1_T1",14,98,2.35473441905275,0.88692211578509,"Feb_21","Lihou","Lihou_N1","T1",2021-02-12,-17.11619,151.83479,45.1,27.7,"lagoon","flat",2
"Feb_21_Lihou_N1_T10",4,11,1.16222554492109,0.644628099173554,"Feb_21","Lihou","Lihou_N1","T10",2021-02-12,-17.11619,151.83479,50.1,25.3,"outer_reef","steep_slope",1
"Feb_21_Lihou_N1_T11",18,89,2.51441149937321,0.901653831586921,"Feb_21","Lihou","Lihou_N1","T11",2021-02-12,-17.11619,151.83479,50.1,25.7,"outer_reef","steep_slope",3
"Feb_21_Lihou_N1_T12",10,66,1.47000094643257,0.697887970615243,"Feb_21","Lihou","Lihou_N1","T12",2021-02-12,-17.11619,151.83479,55.6,27.9,"outer_reef","steep_slope",4
"Feb_21_Lihou_N1_T13",14,102,1.57417398297773,0.68319876970396,"Feb_21","Lihou","Lihou_N1","T13",2021-02-12,-17.11619,151.83479,55.2,28,"outer_reef","steep_slope",3
"Feb_21_Lihou_N1_T2",11,24,2.23205558361116,0.878472222222222,"Feb_21","Lihou","Lihou_N1","T2",2021-02-12,-17.11619,151.83479,31.2,28.3,"lagoon","flat",1
"Feb_21_Lihou_N1_T3",4,4,1.38629436111989,0.75,"Feb_21","Lihou","Lihou_N1","T3",2021-02-12,-17.11619,151.83479,30.8,28.3,"lagoon","flat",2
"Feb_21_Lihou_N1_T4",8,15,1.96869320850494,0.844444444444444,"Feb_21","Lihou","Lihou_N1","T4",2021-02-12,-17.11619,151.83479,33,28.3,"lagoon","flat",2
"Feb_21_Lihou_N1_T5",9,11,2.14584175259475,0.87603305785124,"Feb_21","Lihou","Lihou_N1","T5",2021-02-12,-17.11619,151.83479,31.7,28,"lagoon","flat",2
"Feb_21_Lihou_N1_T6",18,48,2.49524302639233,0.881944444444444,"Feb_21","Lihou","Lihou_N1","T6",2021-02-12,-17.11619,151.83479,32.5,28,"passage","flat",2
"Feb_21_Lihou_N1_T7",10,53,1.59168777473872,0.698469206123176,"Feb_21","Lihou","Lihou_N1","T7",2021-02-12,-17.11619,151.83479,36.5,27.6,"passage","flat",3
"Feb_21_Lihou_N1_T8",37,442,2.25694977255197,0.752728240617514,"Feb_21","Lihou","Lihou_N1","T8",2021-02-12,-17.11619,151.83479,40,27.4,"outer_reef","gentle_slope",3
"Feb_21_Lihou_N1_T9",20,58,2.67399008043647,0.907847800237812,"Feb_21","Lihou","Lihou_N1","T9",2021-02-12,-17.11619,151.83479,44.8,27.7,"outer_reef","gentle_slope",2
"Feb_21_Lihou_S1_T1",14,39,2.18805479946673,0.837606837606838,"Feb_21","Lihou","Lihou_S1","T1",2021-02-11,-17.40091,151.87454,46.2,28.8,"lagoon","flat",1
"Feb_21_Lihou_S1_T2",9,21,1.80314071121251,0.775510204081633,"Feb_21","Lihou","Lihou_S1","T2",2021-02-11,-17.40091,151.87454,46.6,28.8,"lagoon","flat",1
"Feb_21_Lihou_S1_T4",3,3,1.09861228866811,0.666666666666667,"Feb_21","Lihou","Lihou_S1","T4",2021-02-11,-17.40091,151.87669,47.1,28.8,"lagoon","flat",0
"Feb_21_Lihou_S1_T5",12,20,2.28995151603326,0.875,"Feb_21","Lihou","Lihou_S1","T5",2021-02-11,-17.40091,151.87669,46.4,28.8,"lagoon","flat",1
"Feb_21_Lihou_S1_T7",9,21,1.80314071121251,0.775510204081633,"Feb_21","Lihou","Lihou_S1","T7",2021-02-11,-17.40091,151.87669,47.7,28.8,"lagoon","flat",1
"Feb_21_Lihou_S1_T8",16,3040,0.0992260701127424,0.0261153912742382,"Feb_21","Lihou","Lihou_S1","T8",2021-02-11,-17.40091,151.87669,47.9,28.8,"lagoon","flat",1
"Feb_21_Lihou_S1_T9",6,21,1.4859552254482,0.707482993197279,"Feb_21","Lihou","Lihou_S1","T9",2021-02-11,-17.40091,151.87669,48.9,28,"lagoon","flat",0
"Feb_21_Marion_1_T1",9,18,1.87351052064553,0.790123456790123,"Feb_21","Marion","Marion_1","T1",2021-02-10,-19.12206,152.37332,33.9,27.5,"lagoon","flat",2
"Feb_21_Marion_1_T3",1,1,0,0,"Feb_21","Marion","Marion_1","T3",2021-02-10,-19.12206,152.37332,34.7,27.3,"lagoon","flat",0
"Feb_21_Marion_1_T4",1,2,0,0,"Feb_21","Marion","Marion_1","T4",2021-02-10,-19.12206,152.37332,35,27.3,"lagoon","flat",0
"Feb_21_Marion_1_T5",3,404,0.0611137499680879,0.0196426820899912,"Feb_21","Marion","Marion_1","T5",2021-02-10,-19.12206,152.37332,34.9,27.3,"lagoon","flat",1
"Feb_21_Marion_1_T6",4,7,1.15374194270109,0.612244897959184,"Feb_21","Marion","Marion_1","T6",2021-02-10,-19.12206,152.37332,35,27.3,"lagoon","flat",1
"Feb_21_Marion_1_T7",1,1,0,0,"Feb_21","Marion","Marion_1","T7",2021-02-10,-19.12206,152.37332,34.9,27.2,"lagoon","flat",1
"Feb_21_Marion_1_T8",3,3,1.09861228866811,0.666666666666667,"Feb_21","Marion","Marion_1","T8",2021-02-10,-19.12206,152.37332,35.1,27.3,"lagoon","flat",0
"Feb_21_Osp_N1_T1",7,25,1.52151694544344,0.72,"Feb_21","Osprey","Osp_N1","T1",2021-02-24,-13.8007,146.55257,97.2,25.6,"outer_reef","wall",5
"Feb_21_Osp_N1_T10",6,33,1.20661078224186,0.626262626262626,"Feb_21","Osprey","Osp_N1","T10",2021-02-24,-13.8007,146.55257,68,26.3,"outer_reef","steep_slope",4
"Feb_21_Osp_N1_T11",9,64,1.58594666073439,0.7431640625,"Feb_21","Osprey","Osp_N1","T11",2021-02-24,-13.8007,146.55257,64.2,26.4,"outer_reef","steep_slope",4
"Feb_21_Osp_N1_T12",11,115,1.38611544766112,0.628506616257089,"Feb_21","Osprey","Osp_N1","T12",2021-02-24,-13.8007,146.55257,61.4,26.6,"outer_reef","steep_slope",4
"Feb_21_Osp_N1_T13",18,108,1.91489968025316,0.754458161865569,"Feb_21","Osprey","Osp_N1","T13",2021-02-24,-13.8007,146.55257,52.3,27.3,"outer_reef","steep_slope",5
"Feb_21_Osp_N1_T14",13,66,2.00304369792984,0.810376492194674,"Feb_21","Osprey","Osp_N1","T14",2021-02-24,-13.8007,146.55257,54.6,27.1,"outer_reef","wall",3
"Feb_21_Osp_N1_T15",7,37,1.38855334736144,0.68663257852447,"Feb_21","Osprey","Osp_N1","T15",2021-02-24,-13.8007,146.55257,59.8,26.7,"outer_reef","wall",4
"Feb_21_Osp_N1_T2",14,60,2.09364881140426,0.825,"Feb_21","Osprey","Osp_N1","T2",2021-02-24,-13.8007,146.55257,87.6,25.4,"outer_reef","wall",5
"Feb_21_Osp_N1_T3",11,27,2.10556124211643,0.842249657064472,"Feb_21","Osprey","Osp_N1","T3",2021-02-24,-13.8007,146.55257,94.1,25.2,"outer_reef","wall",4
"Feb_21_Osp_N1_T4",6,89,1.29807483071487,0.667339982325464,"Feb_21","Osprey","Osp_N1","T4",2021-02-24,-13.8007,146.55257,90.6,25.4,"outer_reef","wall",3
"Feb_21_Osp_N1_T5",7,25,1.18138720202038,0.5184,"Feb_21","Osprey","Osp_N1","T5",2021-02-24,-13.8007,146.55257,84,26,"outer_reef","wall",3
"Feb_21_Osp_N1_T6",17,85,2.21199182650267,0.840415224913495,"Feb_21","Osprey","Osp_N1","T6",2021-02-24,-13.8007,146.55257,80.6,26.1,"outer_reef","steep_slope",4
"Feb_21_Osp_N1_T7",13,72,1.97382665235318,0.810185185185185,"Feb_21","Osprey","Osp_N1","T7",2021-02-24,-13.8007,146.55257,71.6,26.3,"outer_reef","steep_slope",5
"Feb_21_Osp_N1_T8",6,42,1.24810674791678,0.621315192743764,"Feb_21","Osprey","Osp_N1","T8",2021-02-24,-13.8007,146.55257,74.4,26.3,"outer_reef","steep_slope",4
"Feb_21_Osp_N1_T9",7,68,1.20664472511071,0.627595155709343,"Feb_21","Osprey","Osp_N1","T9",2021-02-24,-13.8007,146.55257,77.2,26.1,"outer_reef","steep_slope",4
"Feb_21_Saumarez_S1_T1",5,17,1.11854059564317,0.546712802768166,"Feb_21","Saumarez","Saumarez_S1","T1",2021-02-06,-21.912222,153.609167,29.6,27.9,"lagoon","flat",1
"Feb_21_Saumarez_S1_T2",10,23,1.86555921074148,0.77882797731569,"Feb_21","Saumarez","Saumarez_S1","T2",2021-02-06,-21.912222,153.609167,29.6,27.8,"lagoon","flat",1
"Feb_21_Saumarez_S1_T3",4,16,1.23424494557933,0.6640625,"Feb_21","Saumarez","Saumarez_S1","T3",2021-02-06,-21.912222,153.609167,29.8,27.8,"lagoon","flat",1
"Feb_21_Saumarez_S1_T4",7,22,1.728027600073,0.793388429752066,"Feb_21","Saumarez","Saumarez_S1","T4",2021-02-06,-21.912222,153.609167,29.6,27.8,"lagoon","flat",0
"Feb_21_Saumarez_S1_T5",8,24,1.5576572015363,0.673611111111111,"Feb_21","Saumarez","Saumarez_S1","T5",2021-02-06,-21.912222,153.609167,29.5,27.8,"lagoon","flat",1
"Feb_21_Saumarez_S1_T6",3,10,0.89794572485678,0.54,"Feb_21","Saumarez","Saumarez_S1","T6",2021-02-06,-21.912222,153.609167,29.9,27.8,"lagoon","flat",1
"Feb_21_Willis_N1_T1",24,228,2.17623570727682,0.823830409356725,"Feb_21","Willis","Willis_N1","T1",2021-02-14,-16.92334,149.96951,35.2,28,"outer_reef","gentle_slope",3
"Feb_21_Willis_N1_T10",18,76,2.38838810763365,0.875,"Feb_21","Willis","Willis_N1","T10",2021-02-14,-16.92334,149.96951,50.4,27.2,"outer_reef","steep_slope",3
"Feb_21_Willis_N1_T11",17,78,2.43518921243498,0.884615384615385,"Feb_21","Willis","Willis_N1","T11",2021-02-14,-16.92334,149.96951,50.1,27.2,"outer_reef","steep_slope",3
"Feb_21_Willis_N1_T12",12,43,1.82235572641936,0.753921038399135,"Feb_21","Willis","Willis_N1","T12",2021-02-14,-16.92334,149.96951,40,27.3,"outer_reef","steep_slope",3
"Feb_21_Willis_N1_T13",15,101,1.78629172423166,0.734437800215665,"Feb_21","Willis","Willis_N1","T13",2021-02-14,-16.92334,149.96951,43,27.4,"outer_reef","steep_slope",3
"Feb_21_Willis_N1_T14",16,122,2.14042483993311,0.848830959419511,"Feb_21","Willis","Willis_N1","T14",2021-02-14,-16.92334,149.96951,42,27.8,"outer_reef","steep_slope",3
"Feb_21_Willis_N1_T15",24,101,2.38448620969245,0.824036859131458,"Feb_21","Willis","Willis_N1","T15",2021-02-14,-16.92334,149.96951,42,27.8,"outer_reef","steep_slope",3
"Feb_21_Willis_N1_T2",26,138,2.67368845289218,0.879752152909053,"Feb_21","Willis","Willis_N1","T2",2021-02-14,-16.92334,149.96951,42.3,27.6,"outer_reef","gentle_slope",4
"Feb_21_Willis_N1_T3",11,54,1.43995612199096,0.583676268861454,"Feb_21","Willis","Willis_N1","T3",2021-02-14,-16.92334,149.96951,44.4,27.7,"outer_reef","gentle_slope",4
"Feb_21_Willis_N1_T4",13,39,2.16960097497127,0.828402366863905,"Feb_21","Willis","Willis_N1","T4",2021-02-14,-16.92334,149.96951,51.5,27.7,"outer_reef","steep_slope",3
"Feb_21_Willis_N1_T5",13,51,2.20394991831341,0.853517877739331,"Feb_21","Willis","Willis_N1","T5",2021-02-14,-16.92334,149.96951,52.3,27.2,"outer_reef","steep_slope",3
"Feb_21_Willis_N1_T6",12,68,2.091562813886,0.839965397923875,"Feb_21","Willis","Willis_N1","T6",2021-02-14,-16.92334,149.96951,52.3,27.2,"outer_reef","steep_slope",3
"Feb_21_Willis_N1_T7",4,16,1.30509637194834,0.7109375,"Feb_21","Willis","Willis_N1","T7",2021-02-14,-16.92334,149.96951,60.1,26.9,"outer_reef","steep_slope",1
"Feb_21_Willis_N1_T8",8,31,1.77029149682744,0.799167533818939,"Feb_21","Willis","Willis_N1","T8",2021-02-14,-16.92334,149.96951,44.8,27.1,"outer_reef","steep_slope",2
"Feb_21_Willis_N1_T9",21,80,2.74452227630249,0.9196875,"Feb_21","Willis","Willis_N1","T9",2021-02-14,-16.92334,149.96951,44.1,27.2,"outer_reef","steep_slope",2
"Feb_21_Wreck_E1_T1",25,190,1.9053301361612,0.693850415512465,"Feb_21","Wreck","Wreck_E1","T1",2021-02-07,-22.19906,155.32938,31.5,27.7,"outer_reef","gentle_slope",3
"Feb_21_Wreck_E1_T2",24,79,2.75295912039453,0.90594456016664,"Feb_21","Wreck","Wreck_E1","T2",2021-02-07,-22.19906,155.32938,36.5,27.6,"outer_reef","gentle_slope",3
"Feb_21_Wreck_E1_T3",19,88,2.47694138173199,0.892045454545455,"Feb_21","Wreck","Wreck_E1","T3",2021-02-07,-22.19906,155.32938,36.3,27.6,"outer_reef","gentle_slope",3
